0,1,2,3,4,5,6,7,8,9,10,11,12,13
4327.564,4170.769,4079.872,4204.487,4195.0,4117.308,4280.769,4308.974,4254.103,4152.564,4263.846,4124.231,4075.256,4269.744
4317.949,4165.641,4069.487,4191.667,4193.462,4118.974,4324.231,4338.846,4249.744,4126.538,4247.308,4110.0,4053.333,4244.615
4325.128,4175.385,4076.026,4196.795,4209.103,4132.308,4297.564,4301.923,4246.41,4127.308,4251.282,4113.718,4062.949,4245.513
4330.128,4171.667,4083.333,4198.846,4199.487,4125.513,4269.615,4287.179,4247.564,4147.821,4269.615,4120.769,4088.846,4267.564
4318.846,4166.282,4076.282,4187.949,4178.462,4105.128,4293.205,4316.667,4238.462,4134.103,4267.564,4112.949,4079.744,4268.718
4313.462,4171.795,4071.538,4182.564,4179.103,4101.795,4313.205,4322.821,4226.154,4108.59,4257.308,4114.744,4064.487,4261.282
4316.282,4159.872,4074.487,4176.923,4180.385,4111.282,4304.103,4309.615,4233.333,4117.436,4261.667,4130.128,4077.564,4272.308
4315.513,4150.256,4074.615,4173.846,4176.41,4110.513,4291.282,4303.333,4240.897,4128.59,4263.846,4130.897,4086.154,4281.795
4317.308,4176.026,4078.718,4185.641,4185.385,4106.026,4290.0,4292.821,4231.667,4126.026,4260.256,4123.205,4081.667,4278.974
4314.359,4188.59,4077.949,4182.436,4188.462,4111.026,4296.282,4292.179,4228.846,4127.051,4255.513,4121.795,4075.128,4275.385
4300.897,4168.462,4060.769,4156.923,4171.923,4109.872,4295.769,4310.513,4238.846,4124.744,4247.051,4115.897,4068.718,4269.872
4298.59,4170.513,4056.154,4155.641,4171.41,4111.41,4288.077,4323.59,4246.026,4127.051,4246.795,4110.513,4076.41,4268.59
4310.128,4190.128,4071.667,4173.718,4187.308,4122.949,4287.051,4336.41,4252.179,4138.59,4251.923,4113.974,4086.282,4275.256
4313.974,4196.282,4076.667,4177.051,4187.564,4120.769,4289.359,4334.231,4255.128,4135.385,4248.718,4115.128,4081.41,4281.026
4310.0,4208.59,4075.769,4178.846,4179.744,4107.436,4281.538,4298.077,4244.744,4118.077,4244.872,4112.564,4076.795,4276.923
4313.333,4224.231,4088.462,4188.718,4175.385,4100.256,4274.359,4290.128,4235.513,4112.051,4249.359,4114.103,4085.128,4265.769
4318.846,4220.0,4097.564,4189.615,4170.0,4093.846,4281.538,4307.436,4230.769,4113.846,4246.41,4114.744,4090.385,4262.179
4316.667,4214.359,4094.872,4182.692,4167.821,4088.462,4280.769,4289.487,4222.949,4117.051,4238.333,4115.385,4094.872,4276.923
4304.744,4218.846,4088.462,4175.769,4167.051,4087.821,4274.359,4268.718,4217.949,4109.231,4227.821,4112.564,4091.923,4274.615
4287.051,4208.846,4075.769,4162.949,4152.949,4086.154,4285.897,4294.615,4227.051,4098.718,4217.436,4105.256,4080.0,4248.59
4275.128,4189.872,4061.667,4153.974,4148.333,4093.077,4296.667,4324.103,4241.923,4111.667,4217.308,4103.462,4078.718,4239.231
4269.103,4183.333,4052.051,4150.0,4159.615,4111.282,4296.026,4313.974,4247.564,4119.103,4212.564,4099.487,4076.41,4236.41
4266.923,4190.769,4052.821,4150.0,4159.744,4118.718,4293.718,4301.667,4249.359,4112.436,4203.205,4094.487,4074.487,4230.0
4272.308,4204.744,4064.872,4160.641,4159.487,4110.513,4282.949,4308.718,4250.897,4120.256,4206.923,4099.487,4083.205,4235.769
4282.179,4214.231,4074.744,4170.0,4164.231,4107.949,4277.692,4320.0,4251.923,4137.949,4219.103,4106.41,4093.205,4247.179
4289.615,4220.769,4082.436,4172.308,4160.385,4111.538,4289.487,4328.718,4252.308,4140.641,4221.026,4111.538,4098.846,4256.026
4290.385,4223.846,4091.667,4174.744,4161.026,4111.41,4285.256,4313.205,4246.282,4127.564,4217.179,4114.103,4098.718,4262.179
4288.59,4223.846,4093.718,4176.154,4164.615,4104.103,4265.897,4281.41,4233.077,4112.051,4216.154,4110.128,4093.974,4264.103
4289.103,4226.538,4090.256,4173.333,4158.462,4092.308,4265.0,4275.0,4222.949,4101.667,4214.872,4108.59,4095.256,4267.436
4289.487,4226.667,4093.205,4171.538,4156.41,4093.718,4287.436,4285.256,4226.41,4100.385,4215.641,4112.821,4100.897,4272.308
4286.538,4218.462,4093.462,4167.564,4155.897,4105.385,4301.667,4291.923,4232.949,4102.179,4215.385,4110.256,4095.641,4265.0
4278.846,4213.205,4082.692,4164.359,4147.692,4106.154,4282.051,4288.846,4231.923,4104.231,4215.256,4102.564,4096.154,4257.564
4272.692,4216.538,4074.872,4162.821,4146.154,4100.128,4271.538,4284.231,4233.974,4109.487,4216.026,4102.821,4106.923,4269.103
4276.026,4218.462,4078.205,4158.974,4149.615,4101.795,4296.282,4305.0,4245.641,4119.872,4215.897,4108.974,4105.256,4280.385
4281.538,4223.846,4086.41,4161.026,4150.897,4106.154,4302.564,4320.0,4252.436,4135.0,4218.718,4114.359,4109.103,4282.436
4280.385,4236.538,4089.615,4170.769,4158.077,4108.846,4283.077,4310.385,4251.154,4138.462,4221.41,4116.154,4120.641,4285.256
4277.821,4237.692,4089.231,4171.026,4158.205,4113.205,4287.949,4316.41,4251.795,4130.385,4217.949,4112.436,4114.872,4277.692
4280.0,4228.59,4091.154,4162.308,4148.718,4115.0,4304.231,4316.154,4247.436,4128.077,4216.538,4107.692,4112.821,4264.615
4285.897,4228.974,4095.385,4162.692,4148.333,4111.923,4292.051,4286.667,4239.744,4134.231,4223.974,4114.872,4130.385,4262.308
4285.897,4239.872,4095.385,4167.692,4151.923,4103.205,4282.564,4292.051,4232.692,4123.846,4218.077,4116.795,4126.923,4259.359
4278.077,4246.41,4091.282,4168.462,4156.667,4103.59,4295.641,4302.051,4221.154,4101.026,4203.077,4100.128,4107.564,4246.026
4274.231,4251.538,4094.615,4170.128,4159.231,4113.974,4287.051,4273.077,4220.128,4106.026,4208.718,4096.795,4115.513,4241.923
4274.744,4261.026,4101.154,4171.923,4152.692,4111.667,4250.256,4276.282,4231.667,4121.795,4219.744,4111.154,4132.308,4249.231
4266.154,4259.744,4093.462,4164.359,4142.949,4101.154,4257.308,4290.897,4227.564,4104.872,4202.949,4105.769,4117.051,4245.513
4251.282,4242.436,4081.154,4151.282,4143.077,4104.872,4296.282,4274.744,4219.872,4081.667,4182.692,4086.282,4093.077,4225.128
4249.359,4236.41,4085.256,4151.538,4155.513,4121.795,4295.641,4280.128,4229.744,4096.923,4192.564,4093.205,4099.487,4213.974
4253.718,4245.385,4093.846,4157.308,4159.231,4131.154,4281.026,4303.205,4236.026,4120.897,4206.667,4110.128,4115.769,4229.103
4251.923,4246.154,4090.0,4154.231,4147.179,4120.128,4285.769,4303.59,4232.821,4114.103,4203.205,4101.538,4112.179,4239.872
4251.795,4243.077,4087.821,4151.923,4149.615,4115.128,4297.692,4299.103,4235.641,4107.564,4199.872,4093.718,4111.282,4233.333
