0,1,2,3,4,5,6,7,8,9,10,11,12,13
4186.154,4192.949,4181.795,4183.462,4183.846,4200.769,4196.667,4184.103,4212.179,4212.949,4187.436,4174.744,4198.077,4199.359
4185.128,4196.667,4181.923,4183.59,4200.641,4196.923,4198.59,4191.154,4215.0,4211.667,4179.231,4168.333,4188.59,4196.154
4188.974,4195.769,4182.179,4184.872,4199.103,4194.744,4197.308,4198.333,4217.051,4205.513,4178.462,4167.436,4182.308,4200.0
4195.513,4195.385,4185.769,4184.615,4193.077,4197.051,4198.59,4195.641,4217.179,4198.333,4179.103,4169.872,4184.872,4202.692
4202.051,4201.795,4197.821,4194.359,4203.077,4205.897,4201.667,4193.205,4217.821,4195.897,4182.692,4175.128,4199.744,4206.923
4210.897,4211.41,4208.59,4205.769,4208.718,4206.282,4197.821,4201.154,4223.59,4214.872,4191.795,4185.641,4214.744,4212.692
4217.949,4217.051,4213.59,4208.077,4210.641,4199.359,4187.821,4206.154,4231.41,4241.795,4202.692,4196.667,4220.0,4215.641
4221.282,4218.718,4219.231,4211.154,4221.795,4206.154,4190.897,4203.462,4230.128,4248.205,4210.769,4203.077,4219.744,4218.462
4218.333,4218.59,4218.59,4212.564,4222.564,4215.385,4203.333,4198.333,4221.538,4234.615,4207.821,4203.333,4217.949,4217.179
4208.846,4213.077,4206.154,4204.359,4209.103,4209.359,4204.487,4199.744,4218.462,4220.641,4201.154,4200.641,4213.846,4211.41
4202.051,4203.59,4198.974,4201.026,4205.0,4201.795,4202.436,4199.231,4217.821,4209.872,4198.333,4196.923,4206.538,4208.462
4195.256,4201.538,4196.795,4201.667,4208.077,4206.41,4210.128,4191.667,4213.59,4207.564,4192.051,4189.615,4197.564,4203.846
4188.077,4202.436,4191.282,4192.692,4204.615,4203.462,4209.487,4192.051,4212.949,4219.872,4187.692,4183.462,4196.538,4201.667
4187.436,4198.077,4185.897,4187.564,4191.795,4191.667,4197.051,4196.667,4214.744,4218.59,4189.103,4182.308,4195.128,4204.615
4188.846,4197.821,4185.256,4196.41,4188.718,4196.667,4197.179,4194.487,4214.359,4201.923,4190.385,4181.538,4187.821,4202.179
4191.538,4202.692,4189.744,4202.436,4193.846,4208.462,4205.128,4197.179,4217.436,4203.333,4195.769,4181.667,4192.692,4202.051
4199.231,4203.59,4197.051,4199.615,4195.769,4204.744,4203.974,4205.385,4224.103,4221.154,4207.179,4187.436,4203.846,4208.59
4198.205,4202.179,4201.282,4201.795,4210.385,4200.769,4200.256,4203.59,4222.692,4211.667,4210.897,4191.795,4203.077,4206.154
4193.077,4203.333,4201.154,4207.179,4224.103,4210.0,4198.846,4200.0,4217.949,4192.436,4216.154,4189.103,4201.41,4201.923
4195.769,4201.026,4200.0,4204.487,4211.795,4208.077,4195.385,4201.282,4216.923,4211.795,4227.179,4190.641,4202.308,4205.256
4195.769,4201.026,4201.282,4206.026,4202.821,4198.205,4193.462,4201.026,4217.692,4231.154,4233.462,4196.667,4206.41,4207.308
4190.513,4206.923,4203.59,4212.564,4208.974,4205.0,4195.256,4201.026,4216.923,4215.256,4233.974,4195.256,4211.923,4205.128
4186.41,4203.205,4195.641,4206.923,4205.256,4213.846,4196.923,4197.308,4213.462,4199.487,4226.538,4187.179,4202.692,4200.769
4182.564,4194.103,4184.487,4197.308,4196.538,4208.333,4199.615,4195.769,4212.308,4197.051,4219.615,4180.897,4188.462,4193.333
4183.974,4198.974,4185.0,4200.0,4200.897,4203.205,4204.615,4201.667,4215.256,4202.308,4226.282,4179.872,4193.077,4192.692
