0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,4198.077,4275.128,4186.154,4206.282,4262.692,4195.641,4220.256,4196.026,4189.231,4158.846,4128.846,4164.359,4081.795,4150.256,сжать руку
0,4205.256,4281.41,4185.0,4212.308,4250.256,4191.026,4212.308,4197.692,4199.872,4166.667,4136.795,4166.923,4081.538,4152.436,сжать руку
0,4212.179,4289.615,4193.718,4219.231,4239.872,4195.256,4210.256,4197.949,4193.205,4157.949,4132.436,4171.667,4075.128,4154.103,сжать руку
0,4207.564,4278.718,4194.103,4211.282,4255.385,4196.538,4202.051,4192.692,4188.205,4156.282,4138.077,4172.949,4090.0,4160.0,сжать руку
0,4207.692,4273.974,4188.846,4206.923,4267.821,4196.026,4199.359,4193.718,4194.359,4171.923,4144.231,4168.205,4102.564,4161.795,сжать руку
0,4202.436,4282.692,4180.641,4207.821,4258.846,4197.949,4197.564,4194.231,4193.077,4171.282,4134.744,4156.026,4090.513,4150.128,сжать руку
0,4185.256,4273.077,4168.333,4201.026,4251.795,4188.462,4184.103,4196.154,4192.436,4164.359,4128.974,4150.641,4080.513,4140.641,сжать руку
0,4170.385,4242.949,4157.821,4190.385,4244.615,4171.026,4183.718,4197.308,4185.769,4155.897,4125.128,4148.846,4073.205,4137.564,сжать руку
0,4168.59,4233.333,4159.359,4188.205,4219.231,4180.385,4217.179,4196.282,4182.564,4147.436,4119.615,4147.051,4074.487,4141.282,сжать руку
0,4182.308,4252.308,4180.769,4197.051,4206.026,4206.538,4239.872,4215.641,4212.692,4170.513,4139.487,4162.692,4097.564,4159.872,сжать руку
0,4194.744,4259.103,4198.333,4202.564,4222.564,4198.846,4214.487,4224.359,4222.692,4198.205,4158.205,4179.231,4106.667,4173.718,сжать руку
0,4190.385,4241.667,4193.333,4198.462,4228.077,4180.513,4186.667,4192.308,4185.128,4187.051,4142.692,4172.821,4095.128,4168.846,сжать руку
0,4188.333,4246.282,4192.051,4202.692,4219.872,4193.333,4196.795,4180.0,4180.256,4172.436,4125.769,4168.974,4090.769,4161.282,сжать руку
0,4180.641,4244.744,4184.744,4201.667,4209.103,4189.872,4193.718,4195.0,4198.718,4157.564,4112.436,4160.0,4076.923,4145.0,сжать руку
0,4163.59,4217.821,4166.795,4186.795,4210.513,4175.0,4176.538,4188.462,4186.41,4145.128,4114.487,4146.41,4069.231,4135.385,сжать руку
0,4175.769,4225.385,4179.744,4193.59,4238.59,4195.128,4197.821,4187.051,4189.872,4173.718,4152.692,4164.487,4103.718,4161.795,сжать руку
0,4188.077,4234.744,4191.41,4201.795,4240.897,4197.436,4216.538,4206.538,4204.359,4193.974,4168.846,4177.821,4119.744,4173.974,сжать руку
0,4170.897,4204.359,4168.974,4183.846,4199.615,4171.026,4208.846,4206.923,4192.949,4166.026,4135.385,4156.795,4086.923,4151.282,сжать руку
0,4187.179,4212.051,4182.051,4190.256,4198.974,4184.487,4214.103,4202.949,4198.462,4169.231,4138.846,4166.795,4088.077,4164.231,сжать руку
0,4227.051,4257.179,4225.897,4217.821,4232.179,4214.872,4219.359,4210.385,4216.667,4209.103,4178.205,4200.513,4123.846,4202.436,сжать руку
0,4219.615,4252.308,4221.41,4215.897,4229.872,4206.923,4210.897,4203.333,4205.641,4205.641,4167.821,4189.872,4116.795,4194.615,сжать руку
0,4217.106,4255.44,4216.813,4215.33,4227.527,4204.505,4211.355,4202.985,4205.183,4201.209,4164.231,4186.648,4113.571,4189.634,сжать руку
0,4214.597,4258.571,4212.216,4214.762,4225.183,4202.088,4211.813,4202.637,4204.725,4196.777,4160.641,4183.425,4110.348,4184.652,сжать руку
0,4212.088,4261.703,4207.619,4214.194,4222.839,4199.67,4212.271,4202.289,4204.267,4192.344,4157.051,4180.201,4107.125,4179.67,сжать руку
0,4209.579,4264.835,4203.022,4213.626,4220.495,4197.253,4212.729,4201.941,4203.81,4187.912,4153.462,4176.978,4103.901,4174.689,сжать руку
0,4207.07,4267.967,4198.425,4213.059,4218.15,4194.835,4213.187,4201.593,4203.352,4183.48,4149.872,4173.755,4100.678,4169.707,сжать руку
0,4204.56,4271.099,4193.828,4212.491,4215.806,4192.418,4213.645,4201.245,4202.894,4179.048,4146.282,4170.531,4097.454,4164.725,сжать руку
0,4202.051,4274.231,4189.231,4211.923,4213.462,4190.0,4214.103,4200.897,4202.436,4174.615,4142.692,4167.308,4094.231,4159.744,сжать руку
0,4216.282,4287.821,4207.308,4218.846,4235.769,4197.564,4225.897,4207.821,4207.564,4197.821,4158.205,4177.692,4105.385,4174.487,сжать руку
0,4217.179,4293.59,4203.974,4216.41,4227.821,4192.564,4218.333,4204.744,4192.051,4196.41,4154.487,4174.359,4102.564,4176.795,сжать руку
0,4191.923,4273.333,4181.282,4204.872,4210.128,4185.513,4209.744,4196.41,4187.308,4169.103,4123.333,4156.41,4071.538,4153.462,сжать руку
0,4177.821,4251.538,4174.872,4198.59,4212.821,4184.231,4215.385,4195.641,4196.923,4172.308,4118.846,4152.949,4063.59,4145.128,сжать руку
0,4198.718,4275.513,4193.59,4216.667,4232.308,4201.41,4238.718,4211.154,4212.692,4205.385,4155.513,4172.179,4092.308,4166.538,сжать руку
0,4206.795,4286.154,4196.154,4227.436,4230.0,4197.051,4232.821,4214.103,4202.821,4203.077,4160.897,4174.615,4095.0,4169.872,сжать руку
0,4185.897,4240.256,4173.846,4202.436,4218.077,4165.0,4197.821,4195.385,4177.436,4167.564,4133.59,4155.385,4070.256,4150.513,сжать руку
0,4185.513,4220.128,4176.667,4193.077,4226.41,4173.462,4209.487,4199.615,4196.538,4163.974,4140.0,4159.359,4075.256,4152.308,сжать руку
0,4191.667,4237.436,4186.41,4207.564,4224.487,4199.744,4230.0,4207.949,4211.667,4176.538,4147.179,4170.256,4084.615,4159.872,сжать руку
0,4173.462,4228.462,4166.795,4196.538,4211.923,4182.308,4196.538,4183.974,4178.462,4158.718,4125.128,4156.154,4060.513,4147.051,сжать руку
0,4184.872,4226.41,4175.0,4194.231,4223.333,4181.41,4190.128,4188.333,4188.333,4164.744,4138.077,4162.564,4065.897,4157.692,сжать руку
0,4209.359,4238.333,4202.051,4218.333,4225.641,4200.0,4214.231,4209.231,4212.821,4189.487,4155.769,4181.923,4092.308,4174.744,сжать руку
0,4191.41,4222.051,4184.615,4212.821,4209.231,4182.436,4195.513,4188.846,4183.462,4175.0,4131.795,4165.769,4086.154,4157.821,сжать руку
