0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,4210.0,4193.974,4203.333,4215.769,4211.795,4204.359,4172.051,4187.308,4205.897,4307.564,4203.718,4199.103,4230.641,4204.744,0_1
0,4207.692,4195.385,4202.051,4220.256,4214.359,4205.128,4168.462,4188.333,4210.897,4311.154,4194.872,4199.231,4216.154,4199.615,0_1
0,4207.949,4195.769,4203.077,4213.718,4216.41,4202.692,4166.154,4186.282,4211.923,4303.718,4191.41,4198.205,4206.026,4200.385,0_1
0,4213.205,4203.205,4206.538,4212.564,4220.385,4204.487,4170.385,4188.846,4212.436,4304.872,4203.462,4202.949,4216.667,4207.051,0_1
0,4209.872,4201.795,4207.436,4212.821,4218.974,4206.795,4171.41,4194.872,4216.667,4306.667,4206.923,4201.282,4220.769,4205.0,0_1
0,4208.846,4197.821,4209.359,4211.41,4220.769,4207.821,4174.615,4205.128,4217.692,4307.949,4205.256,4202.051,4214.103,4202.308,0_1
0,4210.897,4202.179,4209.615,4211.667,4222.051,4205.769,4179.231,4208.974,4217.179,4311.282,4209.615,4206.795,4211.795,4204.231,0_1
0,4202.949,4200.256,4203.59,4208.333,4214.487,4203.462,4179.872,4201.667,4216.923,4308.205,4206.795,4202.179,4212.051,4203.205,0_1
0,4199.359,4194.744,4199.103,4204.231,4214.615,4209.231,4181.795,4199.103,4216.667,4306.026,4205.0,4199.615,4211.923,4201.154,0_1
0,4203.205,4197.051,4198.59,4207.436,4222.179,4214.231,4180.897,4204.487,4219.872,4306.538,4208.205,4203.59,4209.487,4201.667,0_1
0,4201.154,4199.231,4198.59,4211.923,4217.051,4212.308,4175.128,4207.179,4220.0,4305.0,4203.462,4203.462,4204.615,4202.179,0_1
0,4194.744,4190.513,4198.846,4207.179,4209.744,4209.103,4173.333,4204.744,4216.282,4302.436,4200.385,4201.282,4206.282,4201.026,0_1
0,4193.205,4182.179,4198.718,4201.795,4209.103,4206.923,4176.154,4200.385,4216.026,4298.077,4203.846,4201.41,4209.359,4202.051,0_1
0,4190.0,4183.077,4196.538,4202.051,4206.667,4203.718,4175.256,4193.462,4217.179,4287.436,4198.462,4198.718,4198.462,4201.026,0_1
0,4186.026,4188.718,4192.949,4200.769,4207.949,4205.0,4174.872,4189.487,4210.641,4280.769,4189.872,4195.769,4188.205,4195.128,0_1
0,4191.154,4191.282,4195.641,4197.821,4212.821,4212.436,4182.436,4196.795,4207.308,4289.359,4194.359,4199.231,4196.795,4199.103,0_1
0,4197.436,4193.077,4203.205,4201.923,4212.179,4212.179,4186.154,4207.179,4216.026,4296.026,4199.487,4202.436,4205.769,4205.641,0_1
0,4196.154,4197.436,4203.462,4207.436,4209.487,4205.256,4176.282,4207.308,4222.179,4289.615,4192.949,4199.103,4199.231,4198.077,0_1
0,4188.59,4194.744,4197.051,4205.513,4208.077,4202.949,4168.59,4201.41,4217.436,4283.59,4187.436,4190.385,4190.385,4191.026,0_1
0,4185.897,4192.179,4195.128,4204.615,4208.974,4204.615,4172.692,4205.385,4216.026,4285.641,4189.872,4185.769,4192.821,4195.0,0_1
0,4192.692,4201.795,4197.949,4209.615,4212.949,4205.897,4176.667,4212.308,4226.41,4291.026,4195.385,4192.179,4198.077,4198.077,0_1
0,4196.282,4207.692,4196.282,4211.538,4213.718,4206.667,4177.949,4209.103,4231.282,4296.795,4199.103,4202.179,4197.051,4195.641,0_1
0,4189.231,4201.538,4196.154,4204.103,4212.564,4207.051,4179.359,4200.897,4222.949,4296.538,4197.692,4202.436,4194.872,4195.128,0_1
0,4182.564,4193.205,4197.821,4194.231,4213.462,4208.205,4184.231,4198.718,4215.769,4289.103,4192.949,4192.821,4198.077,4196.282,0_1
0,4182.179,4184.231,4193.59,4193.205,4207.308,4210.897,4192.949,4202.821,4217.436,4285.256,4192.692,4186.154,4201.282,4196.538,0_1
0,4179.231,4178.077,4190.385,4196.026,4200.513,4206.538,4189.487,4200.256,4217.436,4277.308,4190.256,4182.821,4192.564,4195.256,0_1
0,4181.667,4185.641,4193.333,4196.538,4205.385,4200.513,4176.923,4191.538,4214.103,4268.59,4181.923,4181.41,4187.564,4193.59,0_1
0,4188.077,4190.128,4197.821,4194.872,4205.769,4203.846,4174.103,4192.051,4213.59,4276.154,4185.385,4190.513,4196.538,4194.872,0_1
0,4186.41,4180.256,4196.667,4192.692,4198.59,4204.359,4174.359,4196.41,4215.128,4281.538,4192.564,4197.949,4200.641,4197.949,0_1
0,4180.513,4176.282,4192.051,4194.487,4196.41,4197.692,4166.667,4187.564,4211.923,4266.538,4185.769,4191.538,4192.821,4196.923,0_1
0,4178.59,4178.846,4194.744,4199.231,4197.564,4198.974,4164.103,4178.59,4206.154,4256.026,4177.179,4185.513,4186.154,4193.718,0_1
0,4182.949,4183.077,4203.205,4201.795,4203.205,4208.205,4170.385,4187.949,4208.974,4262.821,4178.205,4187.436,4189.744,4193.846,0_1
0,4190.0,4196.026,4207.821,4205.513,4212.308,4207.949,4174.615,4201.538,4216.667,4270.641,4184.231,4193.205,4196.282,4197.564,0_1
0,4191.41,4196.154,4204.615,4202.564,4209.744,4202.821,4173.846,4200.0,4218.59,4268.59,4188.077,4197.051,4194.231,4198.077,0_1
0,4188.077,4179.103,4205.256,4199.744,4202.821,4206.923,4175.128,4193.718,4212.821,4258.974,4184.487,4192.179,4185.128,4194.615,0_1
