0,1,2,3,4,5,6,7,8,9,10,11,12,13
4233.462,4149.744,4195.0,4192.179,4136.282,4193.333,4199.872,4195.769,4184.231,4253.846,4195.0,4185.769,4188.462,4171.282
4231.795,4141.41,4194.103,4208.974,4135.385,4189.615,4190.769,4184.103,4177.436,4245.385,4189.359,4178.205,4178.718,4167.436
4226.282,4138.974,4191.923,4198.077,4148.333,4202.692,4180.769,4167.308,4164.487,4234.872,4178.974,4163.333,4163.462,4157.949
4235.641,4167.692,4198.846,4199.231,4165.256,4218.077,4186.282,4176.026,4172.436,4233.974,4191.667,4179.487,4176.667,4174.103
4247.436,4188.974,4207.051,4223.718,4162.436,4208.077,4190.641,4183.205,4175.128,4235.513,4201.923,4194.487,4189.359,4192.436
4259.744,4197.564,4214.359,4236.795,4140.256,4183.462,4184.615,4176.923,4168.846,4241.026,4197.051,4189.872,4187.564,4194.487
4276.41,4220.128,4220.0,4243.333,4144.487,4188.333,4182.308,4178.846,4171.282,4244.231,4198.333,4193.205,4187.436,4199.103
4278.205,4224.615,4212.821,4250.0,4153.333,4197.949,4183.205,4178.333,4172.564,4235.769,4192.949,4192.949,4179.103,4200.128
4272.564,4210.897,4207.564,4247.179,4142.692,4191.538,4181.41,4167.821,4161.538,4218.462,4178.333,4182.564,4163.974,4193.718
4282.051,4228.462,4222.179,4249.872,4150.385,4195.256,4186.923,4173.462,4159.103,4218.205,4189.359,4193.077,4166.538,4199.487
4284.231,4241.282,4226.282,4248.846,4173.077,4206.282,4192.179,4186.41,4170.641,4234.359,4202.949,4203.59,4174.487,4205.128
4265.641,4213.718,4211.795,4228.333,4169.103,4207.179,4185.897,4177.179,4168.718,4239.744,4188.205,4188.077,4169.103,4195.256
4265.128,4198.974,4216.282,4232.436,4143.077,4198.333,4188.846,4174.359,4160.769,4228.974,4184.103,4186.282,4163.718,4196.026
4278.59,4212.564,4228.077,4257.308,4132.564,4189.103,4201.667,4192.821,4172.949,4227.821,4201.41,4205.641,4171.538,4213.462
4271.154,4204.872,4218.462,4246.282,4145.769,4190.0,4202.051,4202.564,4188.333,4251.026,4209.615,4206.282,4184.872,4216.923
4257.564,4187.564,4210.128,4226.282,4158.462,4200.641,4202.179,4198.846,4190.256,4270.385,4213.333,4198.077,4191.538,4203.974
4255.385,4190.769,4210.641,4228.59,4155.385,4202.692,4203.462,4191.667,4186.154,4262.821,4217.564,4198.718,4191.538,4197.692
4249.359,4182.051,4199.872,4224.487,4149.487,4194.231,4189.872,4180.385,4171.667,4238.718,4206.923,4192.308,4188.205,4200.0
4237.308,4162.179,4189.487,4211.538,4150.769,4200.0,4184.359,4176.667,4163.718,4235.256,4197.179,4183.59,4185.256,4195.641
4234.744,4162.692,4194.487,4213.718,4171.795,4227.564,4200.641,4184.487,4181.667,4254.872,4203.974,4187.949,4182.436,4188.59
4235.769,4162.179,4198.462,4216.154,4183.718,4237.051,4206.154,4186.026,4187.051,4253.462,4206.154,4190.256,4178.59,4185.385
4233.59,4150.385,4191.026,4206.282,4144.103,4211.667,4199.359,4184.744,4169.615,4239.231,4200.0,4181.538,4175.0,4180.513
4241.41,4157.949,4192.051,4208.462,4126.795,4195.256,4208.718,4197.051,4172.308,4244.744,4205.0,4183.333,4178.205,4185.513
4251.41,4174.744,4207.051,4225.769,4166.667,4203.59,4224.103,4210.641,4194.103,4261.282,4216.026,4196.282,4188.333,4199.231
4247.051,4165.897,4209.615,4230.769,4173.974,4207.692,4219.103,4208.718,4200.385,4274.103,4215.513,4195.128,4186.41,4196.923
4235.256,4154.359,4198.205,4212.564,4159.744,4214.744,4204.487,4200.385,4185.256,4266.923,4197.949,4182.692,4166.154,4176.282
4231.41,4159.487,4199.359,4198.974,4168.077,4220.769,4201.41,4199.615,4176.667,4239.615,4185.128,4181.795,4152.692,4171.154
4229.744,4156.41,4206.538,4201.538,4152.436,4207.179,4204.744,4202.692,4182.564,4230.769,4191.026,4187.051,4155.897,4180.769
4222.051,4146.795,4203.333,4202.692,4135.769,4205.128,4207.564,4202.436,4184.231,4242.821,4197.564,4184.487,4158.462,4179.744
4221.154,4152.179,4202.051,4204.103,4158.333,4221.282,4215.897,4202.308,4185.0,4247.564,4198.205,4186.154,4160.769,4179.487
4230.897,4160.128,4208.718,4215.641,4168.077,4222.179,4218.974,4207.436,4193.974,4254.103,4207.821,4197.692,4173.462,4194.231
4233.205,4155.641,4209.744,4219.487,4152.692,4211.41,4204.872,4205.641,4193.846,4267.179,4217.692,4203.846,4185.385,4204.487
4226.41,4153.59,4206.667,4207.436,4155.128,4213.205,4198.077,4198.974,4189.615,4261.41,4214.744,4200.128,4190.385,4201.026
4230.128,4160.256,4209.103,4209.231,4164.487,4217.821,4212.821,4209.744,4208.205,4260.897,4224.359,4205.641,4199.744,4207.821
4236.282,4158.974,4210.897,4225.513,4158.974,4215.385,4220.769,4221.538,4220.128,4277.821,4235.385,4212.436,4206.41,4215.769
4230.128,4154.103,4207.051,4224.487,4153.974,4216.795,4216.41,4209.744,4202.821,4278.077,4222.821,4208.462,4200.513,4209.615
4223.59,4158.846,4201.282,4212.051,4153.846,4214.615,4213.846,4203.462,4192.436,4267.308,4217.051,4207.051,4194.359,4204.103
4229.103,4167.051,4202.051,4217.179,4156.026,4210.385,4217.308,4214.744,4203.59,4275.128,4231.923,4215.641,4197.692,4211.026
4234.231,4164.359,4203.718,4226.923,4158.974,4215.256,4221.538,4213.462,4207.564,4281.795,4234.872,4221.282,4199.615,4217.949
4221.667,4143.718,4194.487,4209.487,4146.41,4219.231,4212.179,4196.154,4186.154,4253.205,4209.872,4206.282,4182.564,4204.872
4218.462,4139.744,4197.308,4201.41,4132.821,4212.692,4204.103,4197.564,4183.59,4243.974,4204.872,4201.154,4173.59,4197.308
4240.128,4165.769,4218.462,4228.974,4152.949,4213.077,4215.513,4210.769,4208.462,4271.795,4230.769,4223.718,4193.974,4220.385
4249.487,4172.949,4224.744,4238.462,4175.128,4217.051,4220.513,4205.897,4205.897,4274.359,4240.513,4232.436,4206.154,4237.436
4233.974,4157.949,4212.179,4214.103,4157.692,4207.051,4203.718,4192.436,4184.231,4264.487,4228.205,4215.128,4191.923,4223.077
4227.308,4163.846,4208.974,4214.103,4150.128,4199.872,4198.077,4194.744,4192.692,4273.718,4225.0,4212.308,4183.59,4213.077
4233.718,4173.333,4211.282,4225.385,4159.615,4200.128,4203.974,4200.256,4206.795,4275.0,4227.564,4218.974,4189.231,4219.231
4225.385,4160.513,4203.974,4206.282,4155.385,4206.667,4200.0,4190.256,4192.564,4258.077,4217.436,4206.667,4185.128,4216.923
4215.0,4152.051,4200.0,4197.051,4161.154,4220.128,4195.385,4185.385,4185.897,4257.564,4215.128,4200.256,4179.615,4210.641
4223.462,4156.282,4208.333,4213.077,4164.103,4215.385,4200.385,4200.128,4199.615,4274.231,4226.795,4207.949,4188.462,4210.897
4235.385,4163.462,4218.077,4224.615,4156.538,4202.179,4213.205,4214.359,4210.128,4281.538,4238.462,4220.385,4204.103,4221.795
4232.821,4164.359,4217.692,4217.821,4169.615,4213.718,4218.59,4216.282,4204.487,4266.923,4237.308,4226.538,4206.154,4230.897
4225.897,4155.128,4216.41,4204.359,4173.333,4222.051,4215.641,4213.205,4200.0,4258.205,4232.051,4221.41,4199.487,4231.538
4226.026,4150.769,4219.359,4199.231,4152.051,4206.667,4216.795,4209.359,4203.974,4274.872,4238.205,4221.154,4204.487,4232.949
4220.256,4147.692,4211.026,4186.795,4146.538,4197.821,4201.667,4193.462,4188.846,4263.974,4226.154,4214.872,4193.333,4220.128
4212.051,4134.615,4196.538,4172.949,4151.923,4200.513,4181.923,4177.821,4172.051,4224.103,4199.103,4196.923,4166.026,4200.769
4217.692,4136.282,4199.615,4187.308,4153.333,4201.923,4193.718,4184.744,4184.359,4220.769,4199.872,4196.282,4168.205,4206.282
4226.538,4152.821,4211.41,4205.513,4159.744,4202.821,4212.051,4200.641,4202.436,4243.718,4219.872,4215.128,4188.333,4220.769
4224.231,4150.385,4207.564,4190.769,4150.769,4201.154,4210.0,4204.615,4205.256,4254.359,4225.385,4218.718,4190.513,4220.0
4222.051,4139.744,4201.41,4181.026,4145.513,4200.256,4211.538,4202.821,4201.667,4247.692,4220.641,4205.513,4185.385,4214.872
4222.051,4141.795,4201.667,4193.462,4159.359,4201.923,4212.051,4201.026,4192.821,4229.615,4212.051,4192.821,4184.615,4209.231
4213.59,4140.513,4197.564,4186.026,4156.923,4208.462,4200.0,4195.256,4182.692,4224.744,4200.769,4183.846,4175.256,4200.256
4209.103,4133.205,4195.513,4171.795,4152.308,4215.385,4203.846,4197.051,4191.538,4245.256,4206.282,4189.359,4170.256,4199.103
4215.256,4142.821,4203.462,4180.0,4162.051,4208.205,4217.821,4207.821,4207.692,4258.59,4222.179,4202.564,4184.359,4205.641
4219.615,4157.436,4209.615,4193.59,4146.282,4199.487,4209.359,4204.872,4198.462,4239.872,4218.462,4198.077,4186.41,4204.615
4214.359,4153.333,4206.282,4198.718,4129.359,4202.692,4196.795,4192.821,4179.231,4220.897,4204.744,4185.769,4170.0,4196.41
4214.872,4149.359,4206.026,4201.538,4156.282,4201.923,4207.051,4202.949,4192.051,4241.154,4213.974,4198.718,4174.359,4202.051
4222.564,4156.41,4211.154,4203.462,4172.564,4200.0,4221.923,4219.615,4211.667,4267.821,4234.231,4222.179,4200.128,4220.769
4219.231,4156.667,4211.026,4201.923,4147.179,4202.692,4221.41,4209.744,4196.154,4254.359,4232.179,4217.308,4205.641,4223.59
4215.513,4155.513,4207.564,4205.897,4136.282,4196.795,4212.692,4196.923,4187.179,4244.615,4223.59,4202.179,4195.0,4215.385
4212.821,4159.231,4200.769,4205.385,4146.41,4194.872,4203.974,4200.769,4204.231,4263.205,4223.846,4201.154,4192.051,4211.538
4202.564,4155.769,4193.077,4201.026,4159.103,4211.667,4199.359,4199.615,4201.667,4261.538,4219.231,4202.692,4189.103,4203.846
4201.667,4151.923,4196.41,4206.41,4174.487,4221.923,4200.513,4195.769,4187.308,4241.282,4214.615,4199.487,4186.923,4200.256
4208.077,4156.538,4203.59,4208.333,4175.513,4213.718,4199.872,4199.103,4192.051,4235.513,4222.179,4198.205,4192.949,4207.051
4203.333,4158.846,4198.846,4200.256,4167.308,4212.051,4200.256,4201.41,4203.205,4246.795,4227.692,4199.231,4199.103,4208.59
4196.795,4153.462,4191.795,4194.615,4160.641,4217.949,4207.051,4204.615,4203.333,4257.692,4222.436,4199.359,4193.974,4202.308
4200.256,4150.256,4193.846,4198.333,4157.179,4216.026,4215.0,4213.718,4199.103,4252.821,4213.205,4200.641,4182.051,4200.385
4202.821,4153.333,4194.103,4202.051,4159.744,4208.333,4218.077,4218.205,4197.564,4246.795,4209.231,4198.462,4179.487,4201.795
4199.615,4155.385,4187.051,4193.333,4151.282,4201.282,4213.974,4213.846,4199.231,4260.385,4214.103,4190.385,4182.564,4202.821
4195.385,4149.744,4182.308,4183.205,4133.333,4202.692,4209.487,4207.436,4197.821,4265.256,4216.667,4183.974,4182.692,4200.769
4186.41,4136.667,4183.59,4181.41,4136.154,4210.897,4202.436,4193.462,4182.179,4237.308,4206.795,4179.487,4175.769,4191.282
4185.641,4137.179,4188.718,4187.179,4156.667,4210.513,4201.154,4190.0,4179.744,4225.385,4204.615,4180.769,4174.103,4190.128
4196.41,4152.436,4191.795,4194.103,4161.282,4201.923,4210.513,4208.333,4200.385,4245.0,4217.179,4188.718,4179.872,4203.333
4194.103,4153.333,4187.564,4191.154,4152.179,4201.795,4209.359,4208.846,4199.744,4248.718,4213.974,4184.872,4173.462,4203.077
4190.513,4147.821,4193.333,4184.872,4141.41,4202.308,4206.282,4196.026,4186.923,4245.256,4208.59,4183.077,4172.821,4198.718
4208.333,4158.333,4212.821,4196.667,4141.026,4200.769,4220.0,4208.974,4201.026,4263.59,4228.59,4205.641,4193.846,4216.026
4213.462,4160.897,4211.667,4211.282,4156.923,4207.821,4222.821,4219.103,4207.692,4268.846,4235.256,4216.667,4200.128,4226.923
4195.897,4148.846,4195.128,4197.179,4174.103,4219.231,4201.538,4197.564,4185.256,4244.487,4215.0,4197.436,4181.667,4212.692
4194.872,4152.692,4197.821,4185.0,4176.026,4219.103,4197.949,4195.897,4185.641,4242.179,4215.769,4194.615,4181.41,4213.59
4202.436,4155.385,4203.846,4190.769,4146.667,4203.333,4206.667,4213.59,4205.769,4254.615,4227.564,4204.487,4191.41,4222.949
4195.128,4145.128,4195.256,4185.897,4129.872,4200.128,4200.128,4207.436,4199.103,4247.821,4218.462,4192.436,4185.641,4211.923
4190.0,4145.385,4191.41,4179.872,4163.846,4217.051,4196.41,4197.308,4184.487,4240.513,4209.744,4183.205,4179.487,4206.026
4198.718,4154.487,4203.718,4189.615,4180.897,4214.615,4202.692,4201.795,4191.026,4245.769,4217.692,4196.026,4185.0,4215.769
4205.256,4160.128,4213.718,4200.0,4154.615,4201.154,4205.256,4207.051,4200.128,4249.103,4223.077,4207.179,4193.462,4220.128
