0,1,2,3,4,5,6,7,8,9,10,11,12,13
4218.718,4164.359,4203.59,4203.205,4186.41,4189.615,4215.641,4169.872,4198.462,4197.308,4208.462,4217.564,4186.923,4197.564
4233.718,4173.077,4213.462,4209.744,4200.256,4188.462,4189.744,4160.513,4196.282,4196.667,4216.923,4230.641,4195.0,4215.641
4248.333,4191.154,4220.513,4218.846,4200.128,4184.359,4181.538,4168.718,4204.231,4206.795,4227.692,4237.692,4210.256,4228.462
4233.077,4185.897,4208.974,4207.564,4191.41,4182.051,4209.872,4165.256,4200.769,4211.923,4224.487,4224.103,4207.179,4219.487
4212.949,4170.128,4198.333,4197.436,4195.256,4184.744,4211.538,4153.205,4199.615,4210.513,4215.385,4213.846,4198.205,4212.821
4213.974,4164.872,4202.436,4202.051,4199.744,4185.385,4190.769,4153.59,4206.282,4208.205,4212.179,4214.744,4200.641,4215.641
4218.59,4166.282,4206.538,4202.949,4200.897,4186.026,4199.487,4162.051,4203.974,4204.744,4208.333,4216.795,4201.923,4211.154
4214.231,4159.872,4203.333,4198.462,4200.769,4188.333,4206.41,4148.333,4197.821,4199.744,4199.744,4214.615,4193.974,4204.359
4211.41,4150.0,4197.051,4196.282,4197.821,4185.513,4199.231,4127.436,4195.769,4195.513,4195.256,4211.538,4188.846,4204.872
4219.231,4156.282,4197.821,4199.103,4206.154,4184.744,4203.846,4140.256,4199.744,4199.103,4204.487,4220.256,4198.205,4215.769
4230.769,4169.359,4208.846,4207.051,4214.615,4183.205,4207.179,4161.41,4210.385,4207.308,4222.949,4233.462,4212.692,4227.179
4236.154,4174.487,4221.923,4212.949,4203.462,4173.077,4205.897,4157.051,4217.051,4220.641,4233.205,4239.744,4218.974,4231.538
4244.231,4189.487,4228.718,4220.897,4196.282,4170.385,4214.744,4152.179,4217.949,4232.308,4232.692,4242.821,4226.282,4239.872
4262.308,4215.769,4232.179,4233.462,4200.897,4182.692,4221.026,4156.667,4217.436,4229.231,4234.872,4248.205,4236.026,4249.744
4271.795,4220.0,4235.385,4236.282,4198.333,4185.897,4212.949,4158.718,4208.077,4218.974,4238.846,4248.718,4235.641,4252.564
4264.872,4203.718,4233.077,4223.974,4191.282,4166.026,4190.256,4148.205,4189.231,4212.436,4233.718,4239.487,4229.103,4248.718
4265.897,4199.487,4228.077,4216.282,4191.026,4150.128,4179.231,4127.692,4181.538,4206.282,4222.308,4231.282,4223.333,4246.538
4273.846,4205.385,4230.128,4224.231,4202.179,4153.333,4192.564,4109.103,4184.103,4198.718,4216.538,4230.769,4212.051,4247.692
4272.949,4207.564,4234.615,4233.333,4210.641,4157.436,4191.795,4102.308,4182.564,4197.821,4220.128,4234.744,4207.436,4245.0
4261.923,4197.821,4226.923,4230.385,4201.667,4153.846,4176.026,4111.795,4180.256,4198.846,4218.077,4233.333,4210.769,4235.513
4251.795,4185.897,4216.538,4225.128,4199.359,4151.795,4176.41,4127.308,4183.462,4200.0,4215.769,4233.333,4207.308,4232.051
4248.205,4186.282,4218.462,4226.154,4206.154,4156.154,4187.051,4121.282,4186.154,4203.846,4223.59,4240.0,4204.487,4241.795
4248.333,4186.026,4219.359,4221.795,4199.487,4159.872,4201.026,4102.308,4182.821,4204.359,4222.949,4239.872,4203.59,4240.641
4254.872,4180.385,4218.974,4217.436,4202.821,4158.205,4204.103,4111.923,4184.487,4215.769,4215.0,4238.59,4200.385,4233.077
4264.103,4180.769,4229.487,4220.769,4219.103,4154.872,4185.769,4124.231,4190.641,4223.462,4219.231,4244.872,4200.641,4238.974
4257.179,4166.923,4233.077,4219.103,4205.769,4150.128,4182.821,4108.462,4184.744,4200.385,4216.154,4242.436,4193.974,4236.538
4238.718,4140.256,4216.795,4213.205,4188.077,4142.692,4186.026,4100.128,4172.051,4179.487,4196.538,4224.615,4176.667,4217.308
4225.385,4134.744,4204.487,4214.103,4195.385,4136.41,4162.692,4097.564,4161.538,4179.487,4180.385,4208.59,4163.077,4198.205
4215.0,4135.0,4198.974,4212.692,4198.462,4135.769,4173.333,4077.436,4143.846,4169.231,4165.513,4192.051,4154.103,4177.436
4217.949,4130.897,4199.615,4213.59,4206.538,4137.821,4190.0,4072.051,4141.154,4168.077,4166.282,4187.436,4155.256,4170.897
4230.769,4140.641,4209.744,4222.692,4217.436,4135.769,4151.026,4085.769,4162.308,4201.154,4190.256,4207.179,4171.026,4189.487
4224.744,4139.487,4210.897,4216.795,4200.128,4126.538,4133.333,4087.949,4167.436,4210.0,4196.154,4212.436,4173.59,4194.744
4211.795,4120.769,4201.026,4201.538,4182.179,4120.128,4152.949,4080.769,4151.795,4183.462,4186.154,4199.231,4162.821,4183.205
4216.282,4120.128,4199.744,4201.538,4193.077,4129.615,4154.487,4071.41,4150.0,4188.846,4195.769,4205.641,4170.256,4190.256
4226.538,4125.513,4208.846,4206.795,4204.872,4147.308,4171.41,4068.59,4161.538,4211.795,4209.359,4221.282,4188.077,4202.308
4231.282,4112.692,4212.051,4201.154,4200.897,4151.538,4192.821,4081.538,4173.333,4208.846,4206.154,4220.513,4187.949,4201.923
4230.897,4099.744,4208.077,4192.436,4203.462,4144.872,4170.385,4096.41,4186.026,4209.359,4205.128,4218.333,4175.897,4203.846
4219.872,4086.538,4200.0,4184.359,4205.256,4142.051,4174.487,4097.436,4183.333,4216.154,4199.744,4217.436,4162.692,4196.923
4213.59,4074.872,4196.154,4182.564,4198.462,4135.897,4193.205,4088.205,4167.051,4207.564,4188.846,4210.256,4158.718,4183.718
4220.641,4077.564,4202.692,4192.692,4199.103,4116.923,4148.59,4065.385,4157.821,4199.872,4187.692,4210.513,4161.026,4186.667
4217.179,4079.231,4197.308,4195.0,4199.231,4103.462,4127.308,4043.333,4145.256,4183.077,4177.051,4206.795,4147.821,4184.103
4208.718,4077.949,4184.744,4191.795,4183.718,4105.513,4160.385,4045.897,4129.103,4160.256,4161.41,4193.59,4129.744,4166.795
4221.667,4089.744,4192.564,4204.872,4180.513,4103.205,4148.462,4052.692,4129.487,4174.744,4171.026,4198.205,4132.949,4168.59
4233.974,4100.897,4211.282,4218.974,4202.564,4091.538,4110.0,4053.846,4138.846,4189.487,4185.256,4215.513,4142.692,4185.513
4224.487,4094.872,4209.487,4215.769,4204.615,4086.41,4117.692,4062.564,4139.103,4170.769,4177.821,4218.462,4138.462,4189.359
4216.282,4084.487,4199.744,4209.487,4185.513,4092.179,4138.462,4066.41,4139.103,4171.795,4169.872,4210.128,4133.462,4182.051
4212.692,4074.103,4197.949,4203.462,4183.59,4107.949,4147.821,4059.359,4141.026,4191.538,4175.256,4206.41,4136.154,4175.256
4195.641,4060.897,4188.59,4191.538,4194.872,4121.538,4158.974,4051.923,4138.846,4188.718,4178.333,4204.615,4139.744,4171.667
4177.051,4048.205,4172.179,4181.282,4201.154,4114.359,4154.872,4043.59,4136.923,4182.436,4173.462,4197.308,4134.615,4163.974
4173.205,4037.051,4165.641,4179.103,4198.462,4101.282,4150.256,4045.513,4136.795,4186.41,4167.436,4193.462,4123.718,4156.538
4177.692,4031.026,4171.41,4179.615,4188.333,4107.308,4169.872,4058.333,4138.846,4183.59,4164.744,4195.385,4120.513,4159.744
4194.231,4033.846,4185.256,4181.41,4181.154,4115.641,4171.282,4053.846,4141.538,4181.282,4167.564,4200.513,4124.231,4171.41
4211.026,4034.487,4195.385,4182.564,4183.462,4103.333,4147.308,4042.308,4141.154,4189.615,4175.128,4208.718,4127.692,4178.59
4206.282,4024.744,4188.333,4178.462,4181.41,4094.487,4148.333,4048.718,4138.974,4196.026,4182.564,4212.821,4126.026,4181.154
4199.487,4025.128,4185.0,4177.051,4175.0,4105.256,4158.59,4057.436,4139.615,4192.051,4188.077,4214.872,4121.538,4185.897
4209.359,4039.615,4194.744,4185.897,4177.564,4108.205,4141.667,4043.846,4134.359,4183.846,4188.077,4214.103,4121.923,4185.385
4219.487,4051.538,4195.128,4197.308,4193.974,4097.051,4128.077,4027.949,4122.692,4184.487,4190.256,4209.231,4126.538,4183.205
4215.897,4057.179,4186.923,4202.436,4207.436,4093.846,4138.077,4029.231,4119.359,4184.231,4195.897,4200.641,4124.744,4183.462
4212.821,4063.59,4185.513,4207.436,4200.641,4100.0,4144.872,4030.128,4120.0,4173.462,4198.205,4195.385,4120.385,4182.821
4218.333,4074.872,4189.103,4216.795,4195.513,4099.103,4135.385,4018.974,4117.436,4173.205,4205.256,4202.949,4130.128,4188.846
4226.026,4081.282,4193.846,4221.026,4209.359,4095.641,4125.641,4021.538,4125.385,4193.077,4224.103,4220.769,4150.256,4208.205
4227.179,4073.59,4201.41,4220.128,4219.359,4094.744,4126.795,4044.231,4140.641,4208.974,4238.718,4234.231,4158.333,4223.59
4216.154,4058.846,4203.077,4215.641,4213.462,4093.846,4142.821,4052.179,4140.641,4207.692,4236.667,4234.103,4148.974,4216.795
4204.231,4042.821,4196.538,4206.41,4206.923,4096.667,4153.718,4038.59,4132.821,4203.718,4229.872,4227.692,4139.744,4206.795
4196.282,4017.821,4185.128,4189.487,4189.487,4096.667,4142.308,4027.051,4132.949,4199.359,4224.231,4221.41,4135.0,4202.436
4187.949,3991.282,4174.231,4172.179,4170.769,4091.538,4130.641,4021.795,4129.872,4191.154,4217.179,4217.179,4127.692,4194.744
4173.718,3974.359,4161.795,4162.179,4174.744,4089.744,4147.821,4020.256,4113.59,4178.718,4207.179,4208.462,4113.077,4179.615
4163.974,3966.41,4151.026,4161.154,4180.128,4092.308,4155.128,4025.513,4105.897,4170.0,4194.872,4198.077,4097.308,4167.308
4172.949,3970.385,4158.718,4167.949,4177.051,4089.744,4123.974,4032.308,4120.0,4178.846,4194.231,4201.923,4098.59,4167.949
4183.205,3978.077,4170.256,4177.949,4178.077,4080.897,4108.205,4026.538,4130.128,4186.795,4200.0,4209.103,4107.308,4173.462
4185.769,3984.872,4168.462,4182.949,4180.256,4077.821,4121.154,4017.949,4121.795,4184.744,4200.513,4210.513,4109.872,4179.103
4193.077,3994.103,4168.077,4184.872,4181.41,4080.513,4123.974,4022.949,4117.821,4194.744,4206.795,4214.103,4117.692,4186.154
4204.103,4001.795,4173.846,4192.179,4187.436,4078.718,4126.795,4035.897,4126.667,4203.718,4217.436,4219.231,4127.308,4192.308
4208.462,4008.846,4177.949,4199.744,4188.59,4071.154,4136.667,4031.667,4126.154,4191.795,4218.462,4223.462,4126.026,4198.077
4207.821,4016.795,4181.923,4198.333,4185.128,4067.949,4135.513,4011.282,4113.718,4180.385,4216.154,4228.718,4124.744,4203.718
4209.231,4019.231,4184.615,4197.564,4191.41,4066.026,4122.949,4003.718,4105.385,4186.026,4218.205,4230.769,4125.769,4205.385
4215.769,4023.974,4184.103,4203.333,4195.385,4063.59,4110.769,4008.718,4107.436,4191.795,4219.103,4231.282,4124.487,4206.667
4216.282,4028.462,4181.41,4200.0,4188.718,4067.436,4112.821,4002.949,4107.949,4185.641,4213.077,4224.744,4121.923,4202.564
4199.231,4019.872,4166.282,4189.744,4182.821,4067.051,4117.051,3998.718,4105.0,4181.41,4198.333,4206.667,4108.077,4185.128
4180.128,4006.795,4148.205,4182.308,4189.872,4060.897,4104.744,4009.744,4109.231,4187.692,4185.128,4195.769,4090.256,4172.179
