0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,4165.513,6969.359,4298.462,4208.077,4397.949,4191.154,4173.974,4197.051,4205.256,4241.41,4216.538,4249.231,5274.615,4209.744,сжать руку
0,4168.718,6915.385,4298.205,4203.974,4401.282,4204.615,4186.154,4198.077,4209.487,4247.308,4220.769,4253.462,5246.41,4212.308,сжать руку
0,4164.872,6852.564,4292.949,4212.692,4399.615,4198.974,4182.692,4197.949,4215.128,4245.256,4213.077,4246.795,5206.795,4202.436,сжать руку
0,4155.641,6780.0,4287.051,4210.897,4389.487,4190.385,4173.205,4206.282,4225.385,4246.282,4214.615,4242.436,5171.795,4203.846,сжать руку
0,4156.923,6722.949,4286.282,4198.077,4387.949,4195.128,4179.103,4208.59,4230.513,4252.949,4223.333,4248.846,5140.897,4212.564,сжать руку
0,4156.154,6672.564,4283.462,4195.256,4389.872,4197.692,4191.41,4188.205,4211.154,4244.487,4218.59,4243.974,5095.256,4203.59,сжать руку
0,4154.615,6609.744,4279.359,4201.026,4385.128,4194.231,4194.872,4181.667,4198.718,4234.744,4210.0,4238.077,5040.513,4195.769,сжать руку
0,4159.103,6543.205,4280.256,4205.385,4382.692,4191.923,4184.231,4199.615,4210.128,4236.795,4211.282,4242.564,4993.462,4201.923,сжать руку
0,4157.949,6491.154,4282.051,4210.128,4385.897,4193.333,4170.0,4199.487,4212.436,4234.231,4213.462,4239.487,4947.564,4205.128,сжать руку
0,4154.103,6435.513,4276.923,4210.385,4379.872,4197.308,4177.949,4203.333,4215.513,4236.154,4213.846,4237.179,4902.821,4204.744,сжать руку
0,4157.821,6364.744,4274.615,4204.872,4370.0,4197.436,4192.821,4226.923,4234.231,4249.872,4218.974,4248.205,4860.897,4208.974,сжать руку
0,4161.026,6300.385,4277.949,4207.179,4371.538,4192.692,4186.41,4205.128,4220.641,4244.231,4218.974,4249.615,4813.718,4207.179,сжать руку
0,4155.513,6225.897,4273.205,4208.974,4371.282,4185.256,4174.359,4162.179,4182.436,4218.462,4212.821,4237.821,4760.897,4195.897,сжать руку
0,4158.846,6132.692,4272.692,4204.487,4365.641,4179.231,4177.179,4187.051,4196.41,4221.41,4215.385,4244.231,4714.103,4199.231,сжать руку
0,4168.462,6055.897,4283.846,4205.256,4365.128,4178.846,4179.487,4216.282,4226.282,4238.205,4219.103,4255.513,4667.821,4208.718,сжать руку
0,4168.333,5988.718,4288.462,4214.872,4364.615,4183.59,4176.795,4182.051,4201.154,4228.205,4215.513,4250.513,4607.564,4207.564,сжать руку
0,4164.103,5907.564,4283.59,4215.256,4360.897,4174.487,4176.41,4168.718,4180.385,4218.205,4218.718,4246.923,4550.513,4210.513,сжать руку
0,4158.974,5829.103,4275.385,4202.436,4356.923,4161.026,4176.282,4199.103,4203.59,4225.769,4224.487,4248.974,4508.077,4212.692,сжать руку
0,4157.308,5768.077,4271.41,4198.333,4353.974,4167.949,4175.385,4196.923,4208.077,4226.795,4221.795,4249.615,4465.256,4204.359,сжать руку
0,4162.436,5722.051,4277.051,4203.974,4353.333,4180.385,4180.641,4179.872,4189.231,4221.923,4220.513,4252.564,4416.795,4203.077,сжать руку
0,4167.821,5686.667,4283.718,4208.077,4359.872,4175.641,4185.641,4196.667,4199.872,4224.231,4223.333,4257.051,4374.615,4210.385,сжать руку
0,4166.41,5652.692,4281.795,4205.128,4362.436,4161.538,4175.0,4203.846,4213.59,4224.872,4219.615,4257.179,4338.333,4208.846,сжать руку
0,4164.744,5633.846,4275.897,4201.667,4354.231,4162.821,4175.769,4188.333,4199.231,4218.462,4217.436,4256.795,4300.513,4203.59,сжать руку
0,4165.256,5630.256,4269.231,4198.205,4346.41,4170.769,4198.077,4196.026,4190.256,4210.0,4221.41,4253.462,4265.128,4203.974,сжать руку
0,4165.385,5601.538,4265.385,4193.462,4342.179,4164.103,4197.436,4203.462,4198.333,4209.231,4219.487,4248.846,4232.179,4207.564,сжать руку
0,4163.59,5541.795,4268.205,4193.59,4340.513,4157.821,4176.154,4176.282,4191.41,4213.462,4212.692,4249.103,4196.154,4210.385,сжать руку
0,4166.923,5506.795,4277.692,4202.692,4349.487,4165.897,4169.231,4164.872,4177.051,4216.41,4219.872,4254.487,4166.795,4209.615,сжать руку
0,4177.692,5495.897,4288.333,4216.154,4361.923,4175.0,4181.667,4198.462,4190.256,4216.667,4230.0,4258.333,4144.359,4211.154,сжать руку
0,4181.923,5449.744,4288.462,4212.949,4365.513,4176.667,4192.179,4208.462,4201.154,4209.231,4219.103,4251.154,4111.282,4213.718,сжать руку
0,4175.385,5382.179,4280.256,4208.205,4362.436,4169.744,4182.436,4168.59,4172.692,4197.436,4205.513,4240.385,4071.923,4208.59,сжать руку
0,4176.41,5333.846,4280.385,4219.872,4357.692,4164.103,4169.872,4157.821,4154.359,4196.41,4209.744,4243.077,4046.538,4202.949,сжать руку
0,4187.051,5288.718,4287.692,4224.487,4353.59,4169.103,4180.769,4205.513,4194.103,4213.59,4219.231,4252.436,4033.077,4208.59,сжать руку
0,4187.821,5229.103,4289.359,4215.769,4351.795,4172.179,4194.872,4222.564,4222.308,4224.872,4223.718,4252.436,4016.41,4213.077,сжать руку
0,4178.59,5178.205,4281.538,4213.333,4353.59,4166.538,4182.179,4177.436,4189.487,4214.231,4218.205,4244.872,3991.667,4203.333,сжать руку
0,4170.769,5141.538,4268.59,4211.538,4350.513,4165.128,4172.308,4157.308,4161.795,4194.744,4208.333,4240.641,3962.692,4191.667,сжать руку
0,4170.641,5104.103,4264.103,4205.0,4343.077,4165.256,4182.436,4187.436,4178.077,4192.692,4206.41,4240.641,3942.436,4192.564,сжать руку
0,4177.436,5061.538,4268.846,4206.026,4341.795,4167.308,4188.974,4204.103,4199.872,4205.897,4211.923,4242.308,3932.692,4198.974,сжать руку
0,4173.077,5010.513,4262.949,4202.436,4341.41,4170.897,4184.359,4181.41,4185.385,4195.0,4206.282,4237.179,3910.128,4194.615,сжать руку
0,4165.513,4967.051,4257.308,4197.564,4341.795,4170.897,4181.538,4164.487,4157.949,4179.359,4200.641,4236.154,3886.923,4193.718,сжать руку
0,4174.103,4933.59,4266.026,4208.462,4346.667,4181.282,4199.103,4178.333,4160.385,4190.128,4209.103,4241.667,3880.385,4203.333,сжать руку
0,4182.564,4889.231,4267.821,4212.821,4351.282,4193.462,4212.692,4193.59,4183.974,4201.41,4212.308,4238.974,3869.487,4203.333,сжать руку
0,4177.821,4838.333,4260.128,4206.41,4352.179,4189.744,4205.641,4192.949,4194.103,4197.821,4206.923,4232.564,3850.385,4197.179,сжать руку
0,4175.385,4792.179,4257.692,4208.205,4350.256,4187.564,4203.846,4187.051,4183.974,4196.667,4202.436,4231.154,3839.744,4197.179,сжать руку
0,4176.154,4753.718,4254.872,4207.821,4348.974,4190.128,4203.846,4189.231,4183.846,4202.949,4201.026,4232.436,3830.385,4198.077,сжать руку
0,4172.564,4719.872,4250.769,4195.513,4344.487,4183.974,4198.718,4191.026,4194.615,4206.923,4204.103,4235.513,3815.897,4197.179,сжать руку
