0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,4273.333,4253.846,4219.487,4230.385,4194.615,4177.821,4197.308,4195.0,4188.59,4189.231,4218.846,4256.667,4238.974,4144.359,сжать руку
0,4275.385,4261.154,4220.769,4236.41,4195.769,4173.846,4181.795,4195.385,4190.0,4195.0,4221.41,4253.718,4247.051,4145.513,сжать руку
0,4277.564,4258.846,4223.333,4239.103,4201.923,4172.436,4176.154,4208.462,4203.974,4212.564,4234.103,4264.103,4254.359,4151.41,сжать руку
0,4269.103,4244.231,4221.923,4231.923,4199.487,4173.333,4190.897,4212.692,4202.179,4212.179,4240.128,4268.974,4251.923,4155.256,сжать руку
0,4255.128,4229.103,4217.564,4224.615,4193.59,4175.256,4197.308,4207.821,4195.128,4205.0,4233.077,4259.744,4241.795,4150.641,сжать руку
0,4241.667,4217.564,4208.846,4220.641,4193.974,4174.359,4189.487,4205.769,4197.692,4205.513,4221.41,4248.718,4228.59,4138.718,сжать руку
0,4231.667,4208.205,4198.846,4214.615,4198.077,4174.231,4189.359,4207.308,4202.949,4208.077,4218.718,4245.513,4220.0,4132.436,сжать руку
0,4229.872,4204.231,4197.564,4211.154,4198.846,4178.974,4195.897,4205.0,4204.103,4208.974,4222.051,4244.103,4220.256,4137.564,сжать руку
0,4227.179,4199.487,4198.718,4211.923,4194.872,4181.923,4198.077,4199.872,4202.051,4201.282,4216.538,4236.923,4214.231,4140.513,сжать руку
0,4221.538,4191.41,4196.41,4207.308,4195.256,4181.795,4203.974,4205.385,4201.923,4192.051,4209.231,4233.333,4204.487,4131.282,сжать руку
0,4218.205,4186.41,4192.692,4202.949,4199.744,4182.436,4203.718,4210.385,4202.949,4200.128,4215.128,4237.949,4207.179,4126.41,сжать руку
0,4215.256,4188.718,4190.385,4205.769,4203.718,4184.487,4194.744,4201.41,4200.256,4212.051,4222.179,4239.231,4212.949,4136.667,сжать руку
0,4213.974,4191.282,4188.846,4210.0,4205.256,4187.692,4197.821,4198.974,4200.513,4204.487,4215.897,4230.769,4209.359,4116.538,сжать руку
0,4222.436,4195.897,4195.769,4216.026,4205.0,4185.385,4201.282,4210.385,4206.667,4199.487,4214.744,4232.308,4211.538,4066.154,сжать руку
0,4243.077,4213.462,4214.615,4227.051,4208.077,4182.436,4201.282,4216.667,4214.231,4216.923,4230.256,4255.513,4224.359,4059.872,сжать руку
0,4251.795,4222.692,4223.974,4229.487,4208.205,4187.308,4208.846,4213.718,4215.385,4229.231,4236.282,4268.718,4225.897,4085.385,сжать руку
0,4237.564,4210.385,4213.974,4222.436,4203.205,4186.795,4206.154,4209.231,4207.436,4217.949,4222.436,4257.179,4212.949,4079.487,сжать руку
0,4225.0,4202.821,4205.897,4219.872,4204.487,4180.897,4199.103,4208.846,4205.641,4209.231,4213.718,4250.897,4209.359,4067.821,сжать руку
0,4223.846,4203.205,4205.128,4217.436,4207.821,4186.026,4207.564,4213.59,4213.462,4215.256,4215.513,4252.308,4212.692,4073.462,сжать руку
0,4225.385,4202.051,4203.462,4215.385,4209.744,4195.128,4209.231,4210.0,4214.231,4216.41,4214.231,4242.179,4208.974,4067.308,сжать руку
0,4223.718,4204.103,4202.179,4220.385,4217.436,4190.513,4198.333,4199.487,4207.436,4207.308,4209.359,4232.436,4206.026,4059.744,сжать руку
