EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4195.641113000001,4198.974121,4205.0,4188.974121,4214.358886999999,4208.974121,4190.769043,4194.230957,4197.563965,4197.692383,4199.102539,4216.794922,4216.666504,4204.487305
4199.230957,4202.692383,4206.410156,4191.025879,4213.717772999999,4216.666504,4199.615234000001,4201.538574,4201.794922,4200.512695,4208.974121,4225.128418,4189.358886999999,4208.974121
4202.179688,4209.358886999999,4204.871582,4201.666504,4210.384765999999,4216.153809,4209.358886999999,4204.102539,4210.512695,4211.538574,4219.102539,4231.025879,4186.666504,4210.769043
4193.846191,4210.769043,4201.153809,4198.974121,4209.615234000001,4213.077147999999,4211.025879,4204.230957,4214.230957,4216.282227000001,4214.102539,4221.922852000001,4146.538574,4203.589844
4188.077147999999,4213.461426,4200.641113000001,4191.922852000001,4213.717772999999,4215.769043,4209.743652,4204.358886999999,4210.512695,4216.666504,4207.05127,4215.512695,4145.128418,4198.846191
4191.794922,4214.102539,4198.717772999999,4195.512695,4213.205078,4222.307617,4206.794922,4197.820313,4201.666504,4212.692383,4210.256348,4217.179688,4156.153809,4198.974121
4195.0,4211.666504,4198.974121,4198.974121,4208.846191,4226.282227000001,4205.0,4195.641113000001,4200.384765999999,4205.641113000001,4215.256348,4218.846191,4121.025879,4201.538574
4194.487305,4211.922852000001,4201.794922,4199.358886999999,4208.205078,4218.333496,4207.307617,4203.717772999999,4206.666504,4202.563965,4217.94873,4218.461426,4123.461426,4202.692383
4194.487305,4213.846191,4200.384765999999,4200.512695,4204.487305,4204.743652,4205.128418,4204.230957,4204.358886999999,4199.871582,4217.307617,4218.333496,4158.846191,4198.974121
4200.512695,4215.384765999999,4202.820313,4202.820313,4202.563965,4207.436035,4202.820313,4199.102539,4199.102539,4197.05127,4216.538574,4223.974121,4161.666504,4202.563965
4207.94873,4216.025879,4212.563965,4209.487305,4209.487305,4220.384765999999,4211.794922,4207.05127,4207.692383,4205.128418,4225.512695,4234.230957,4108.717772999999,4215.384765999999
4210.384765999999,4218.974121,4217.05127,4217.94873,4214.102539,4221.794922,4218.589844,4218.461426,4219.743652,4218.077147999999,4232.436035,4239.358886999999,4040.1281740000004,4221.410156
4205.128418,4218.077147999999,4207.94873,4218.974121,4209.871582,4218.333496,4206.410156,4206.666504,4211.153809,4212.436035,4223.589844,4231.153809,4048.718018,4212.179688
4197.307617,4213.589844,4197.436035,4214.615234000001,4208.717772999999,4214.615234000001,4192.307617,4185.384765999999,4191.153809,4192.307617,4208.461426,4218.461426,4099.230957,4203.333496
4196.794922,4214.358886999999,4197.820313,4215.512695,4207.05127,4205.256348,4193.205078,4185.641113000001,4191.666504,4186.922852000001,4203.717772999999,4213.846191,4090.641113,4200.128418
4201.153809,4217.05127,4201.666504,4222.820313,4198.846191,4203.077147999999,4199.230957,4200.512695,4206.538574,4199.615234000001,4209.743652,4217.05127,4092.0512700000004,4200.128418
4202.692383,4216.538574,4202.563965,4228.589844,4198.589844,4211.666504,4204.102539,4205.641113000001,4211.282227000001,4207.692383,4216.153809,4220.641113000001,4150.384765999999,4208.846191
4203.333496,4215.641113000001,4203.333496,4231.025879,4200.128418,4213.974121,4205.256348,4201.794922,4204.230957,4204.230957,4218.589844,4221.922852000001,4137.179688,4212.05127
4205.256348,4216.410156,4203.589844,4229.230957,4198.589844,4211.153809,4202.05127,4200.512695,4202.05127,4200.769043,4213.846191,4222.307617,4112.307617,4204.743652
4206.410156,4215.0,4200.256348,4222.179688,4202.94873,4211.153809,4200.769043,4196.794922,4203.333496,4201.025879,4208.974121,4219.615234000001,4171.794922,4201.666504
4207.436035,4213.974121,4202.563965,4216.025879,4205.512695,4208.461426,4200.256348,4192.692383,4199.102539,4199.615234000001,4208.333496,4217.436035,4172.307617,4204.230957
4211.922852000001,4217.05127,4207.563965,4215.384765999999,4202.94873,4205.641113000001,4193.974121,4196.666504,4198.333496,4193.333496,4204.743652,4218.974121,4115.384765999999,4203.333496
4216.153809,4216.922852000001,4206.538574,4217.307617,4203.077147999999,4211.538574,4191.282227000001,4200.641113000001,4200.256348,4190.128418,4202.94873,4219.871582,4115.128418,4207.05127
4216.153809,4215.384765999999,4204.871582,4217.05127,4203.846191,4213.333496,4194.487305,4195.512695,4199.487305,4193.589844,4208.461426,4220.0,4118.333496,4217.05127
4210.641113000001,4215.769043,4204.615234000001,4212.692383,4203.974121,4209.230957,4193.461426,4190.128418,4198.717772999999,4193.589844,4211.025879,4218.205078,4163.461426,4214.615234000001
4205.641113000001,4217.179688,4201.794922,4208.974121,4207.179688,4209.871582,4191.794922,4193.974121,4199.230957,4190.769043,4207.179688,4215.256348,4287.692383,4205.128418
4206.794922,4214.487305,4200.128418,4211.282227000001,4205.256348,4212.05127,4197.820313,4199.358886999999,4200.256348,4196.922852000001,4204.743652,4215.384765999999,4254.230957,4202.179688
4207.94873,4211.794922,4200.512695,4214.871582,4203.589844,4206.922852000001,4201.410156,4200.256348,4200.384765999999,4203.717772999999,4201.410156,4215.641113000001,4144.615234000001,4203.974121
4202.436035,4215.384765999999,4200.384765999999,4216.538574,4206.666504,4198.205078,4198.205078,4200.512695,4202.307617,4201.538574,4199.487305,4216.538574,4157.692383,4203.077147999999
4200.897461,4213.974121,4197.563965,4214.230957,4205.641113000001,4197.05127,4192.94873,4200.641113000001,4203.589844,4201.794922,4199.102539,4213.333496,4043.461426,4200.641113000001
4202.179688,4206.153809,4192.94873,4206.282227000001,4206.922852000001,4204.615234000001,4186.282227000001,4197.692383,4200.128418,4201.538574,4193.589844,4205.0,3758.718018,4200.769043
4197.563965,4204.743652,4191.025879,4200.384765999999,4209.743652,4213.077147999999,4190.384765999999,4200.256348,4200.384765999999,4199.358886999999,4192.436035,4206.025879,3660.1281740000004,4199.102539
4197.179688,4210.0,4196.025879,4203.717772999999,4205.128418,4206.282227000001,4202.307617,4207.94873,4210.256348,4207.692383,4201.922852000001,4215.128418,3731.281982,4198.974121
4206.666504,4213.077147999999,4201.153809,4210.512695,4202.179688,4194.615234000001,4202.820313,4205.256348,4214.358886999999,4217.563965,4207.05127,4217.692383,3746.794922,4207.307617
4215.256348,4216.794922,4203.974121,4212.307617,4204.615234000001,4200.384765999999,4199.743652,4207.179688,4212.563965,4218.461426,4208.205078,4220.897461,3859.743652,4217.692383
4216.153809,4216.538574,4205.256348,4211.538574,4202.563965,4205.769043,4200.384765999999,4214.871582,4210.384765999999,4211.922852000001,4210.769043,4229.743652,4086.281982,4220.0
4213.461426,4208.333496,4204.487305,4209.871582,4204.487305,4200.384765999999,4199.871582,4208.077147999999,4201.666504,4202.563965,4208.333496,4230.769043,4228.333496,4218.461426
