EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4182.94873,4263.717772999999,4202.94873,4231.666504,4212.94873,4213.717772999999,4201.666504,4185.512695,4210.384765999999,4250.256348,4208.333496,4223.589844,4225.769043,4212.563965
4180.256348,4254.358886999999,4200.256348,4230.0,4207.436035,4212.692383,4201.666504,4188.333496,4212.94873,4248.717772999999,4208.461426,4219.358886999999,4222.436035,4210.512695
4182.94873,4261.794922,4201.794922,4228.461426,4205.0,4209.358886999999,4199.743652,4202.307617,4223.846191,4247.94873,4208.974121,4221.794922,4218.205078,4216.025879
4178.717772999999,4266.538574,4197.05127,4229.743652,4216.794922,4213.461426,4190.256348,4175.384765999999,4208.333496,4236.410156,4199.230957,4213.589844,4201.666504,4206.922852000001
4173.846191,4260.0,4193.077147999999,4229.615234000001,4217.692383,4212.307617,4185.769043,4131.025879,4185.512695,4222.307617,4194.871582,4203.974121,4192.179688,4199.871582
4184.871582,4264.230957,4201.282227000001,4231.922852000001,4204.487305,4206.922852000001,4189.358886999999,4157.436035,4200.128418,4229.487305,4204.615234000001,4213.974121,4207.692383,4212.436035
4189.615234000001,4267.179688,4204.230957,4231.922852000001,4206.025879,4209.743652,4189.871582,4211.282227000001,4219.743652,4238.846191,4207.05127,4221.282227000001,4217.307617,4219.871582
4177.563965,4261.153809,4194.743652,4228.846191,4218.589844,4209.743652,4184.487305,4185.0,4199.358886999999,4226.794922,4199.358886999999,4211.025879,4207.820313,4210.128418
4178.974121,4267.179688,4197.563965,4231.410156,4214.615234000001,4199.743652,4184.358886999999,4140.512695,4187.820313,4227.692383,4204.487305,4212.692383,4219.102539,4210.641113000001
4189.487305,4273.077147999999,4210.641113000001,4236.538574,4201.794922,4200.128418,4192.820313,4162.563965,4215.641113000001,4254.230957,4218.846191,4230.512695,4237.05127,4221.282227000001
4183.846191,4262.307617,4205.512695,4235.128418,4197.94873,4212.820313,4203.461426,4198.077147999999,4228.205078,4258.974121,4217.563965,4231.025879,4227.563965,4218.974121
4171.282227000001,4252.05127,4192.307617,4226.538574,4198.461426,4216.025879,4203.717772999999,4187.436035,4211.794922,4240.384765999999,4208.461426,4218.333496,4212.307617,4208.205078
4162.307617,4248.077147999999,4188.333496,4216.410156,4199.871582,4208.589844,4188.589844,4166.153809,4201.410156,4227.179688,4202.563965,4211.282227000001,4205.769043,4199.743652
4160.384765999999,4243.846191,4187.05127,4212.436035,4202.563965,4202.307617,4178.589844,4175.512695,4202.94873,4221.794922,4196.282227000001,4208.974121,4203.846191,4198.717772999999
4168.974121,4249.358886999999,4191.410156,4217.692383,4201.538574,4205.897461,4187.820313,4182.307617,4201.666504,4227.179688,4199.743652,4211.538574,4209.102539,4205.641113000001
4176.153809,4260.0,4195.641113000001,4221.153809,4197.94873,4211.794922,4199.102539,4162.94873,4197.179688,4231.282227000001,4205.512695,4216.922852000001,4216.922852000001,4208.205078
4178.205078,4259.487305,4192.436035,4216.922852000001,4199.615234000001,4209.615234000001,4192.307617,4145.641113000001,4191.025879,4224.871582,4198.974121,4217.179688,4226.794922,4201.282227000001
4182.563965,4258.461426,4193.205078,4217.563965,4205.256348,4204.615234000001,4180.384765999999,4150.256348,4190.128418,4226.282227000001,4198.461426,4215.641113000001,4247.563965,4202.05127
4184.102539,4263.077147999999,4202.307617,4226.794922,4204.358886999999,4203.846191,4190.256348,4173.589844,4200.769043,4239.230957,4209.743652,4219.487305,4263.333496,4213.333496
