EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4203.333496,4206.794922,4203.589844,4213.333496,4209.615234000001,4213.077147999999,4215.128418,4209.102539,4207.94873,4209.487305,4194.615234000001,4218.077147999999,4204.871582,4211.538574
4206.410156,4209.871582,4206.666504,4214.743652,4209.102539,4200.769043,4215.769043,4200.769043,4205.641113000001,4213.205078,4198.846191,4221.666504,4199.487305,4214.358886999999
4207.179688,4211.666504,4208.077147999999,4214.743652,4202.563965,4202.307617,4218.589844,4205.384765999999,4211.666504,4218.461426,4200.897461,4230.641113000001,4210.256348,4224.615234000001
4210.256348,4207.692383,4211.794922,4215.0,4207.179688,4213.205078,4219.615234000001,4214.102539,4218.717772999999,4219.102539,4201.538574,4235.512695,4221.922852000001,4232.692383
4206.794922,4200.641113000001,4206.025879,4209.230957,4214.358886999999,4210.384765999999,4215.897461,4207.307617,4210.897461,4216.922852000001,4196.025879,4229.615234000001,4216.282227000001,4232.563965
4202.436035,4203.846191,4201.794922,4207.94873,4214.487305,4200.641113000001,4215.512695,4200.128418,4204.487305,4216.282227000001,4194.871582,4222.692383,4207.436035,4232.436035
4206.666504,4215.128418,4208.077147999999,4216.666504,4214.615234000001,4197.307617,4222.05127,4213.205078,4216.538574,4220.256348,4202.179688,4222.563965,4202.94873,4232.563965
4209.487305,4217.94873,4208.974121,4217.94873,4214.102539,4201.282227000001,4225.0,4220.897461,4224.102539,4226.025879,4203.461426,4221.922852000001,4196.666504,4222.307617
4202.820313,4214.230957,4202.563965,4213.333496,4216.666504,4212.94873,4220.256348,4211.538574,4214.487305,4225.0,4195.512695,4215.769043,4201.922852000001,4214.358886999999
4197.94873,4213.333496,4203.589844,4215.512695,4220.512695,4220.384765999999,4214.615234000001,4206.666504,4208.589844,4221.538574,4192.436035,4212.94873,4214.358886999999,4213.461426
4210.256348,4220.256348,4212.563965,4226.025879,4216.922852000001,4213.974121,4216.666504,4214.487305,4220.256348,4229.487305,4203.333496,4227.179688,4219.358886999999,4216.282227000001
