EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4219.230957,4200.897461,4216.666504,4202.05127,4228.333496,4206.666504,4210.384765999999,4202.563965,4209.230957,4215.256348,4223.974121,4222.94873,4107.307617,4224.102539
4213.589844,4196.922852000001,4209.358886999999,4201.794922,4221.410156,4200.769043,4205.0,4199.487305,4204.743652,4205.897461,4216.025879,4216.666504,4073.718018,4222.563965
4212.307617,4189.102539,4204.102539,4196.794922,4224.102539,4200.641113000001,4205.0,4201.666504,4204.615234000001,4206.282227000001,4211.666504,4213.846191,4108.717772999999,4218.846191
4215.256348,4184.871582,4209.871582,4194.358886999999,4222.563965,4202.692383,4206.410156,4198.205078,4204.358886999999,4212.307617,4215.897461,4215.512695,4145.769043,4236.666504
4214.743652,4190.641113000001,4208.589844,4197.436035,4220.384765999999,4200.897461,4199.743652,4187.307617,4194.743652,4206.666504,4212.692383,4216.153809,4127.05127,4251.153809
4218.974121,4200.128418,4207.436035,4202.436035,4227.94873,4198.333496,4196.666504,4189.102539,4195.897461,4205.641113000001,4212.179688,4219.358886999999,4143.974121,4247.820313
4225.512695,4204.230957,4219.358886999999,4206.282227000001,4233.589844,4202.820313,4201.538574,4200.641113000001,4207.05127,4218.846191,4219.102539,4220.897461,4200.897461,4249.487305
4224.487305,4202.692383,4223.333496,4212.05127,4232.436035,4209.743652,4198.974121,4205.128418,4208.846191,4222.563965,4220.769043,4219.358886999999,4198.589844,4251.025879
4220.256348,4200.256348,4213.077147999999,4214.230957,4234.487305,4207.05127,4188.205078,4196.410156,4199.871582,4208.205078,4213.461426,4215.384765999999,4168.846191,4245.128418
4219.102539,4199.871582,4208.205078,4206.153809,4233.974121,4201.153809,4186.538574,4185.256348,4192.563965,4201.922852000001,4204.743652,4208.333496,4170.512695,4243.846191
4212.94873,4198.077147999999,4206.153809,4198.333496,4229.743652,4200.897461,4196.666504,4186.794922,4192.307617,4206.025879,4201.025879,4202.05127,4160.769043,4240.512695
4201.153809,4190.256348,4196.410156,4195.512695,4233.205078,4208.974121,4202.563965,4194.230957,4191.410156,4200.128418,4198.974121,4194.230957,4141.538574,4230.897461
4192.94873,4183.717772999999,4188.461426,4192.692383,4233.846191,4213.589844,4199.871582,4197.820313,4189.743652,4194.743652,4197.307617,4187.692383,4148.461426,4229.743652
4196.025879,4189.615234000001,4193.717772999999,4193.717772999999,4226.666504,4200.256348,4201.025879,4206.025879,4202.436035,4207.820313,4200.0,4192.307617,4154.615234000001,4238.717772999999
4209.871582,4197.563965,4206.410156,4203.333496,4227.692383,4193.333496,4203.846191,4211.282227000001,4210.512695,4217.307617,4206.794922,4203.077147999999,4157.436035,4245.512695
4218.461426,4201.025879,4211.538574,4208.589844,4237.179688,4207.436035,4203.333496,4202.179688,4200.384765999999,4211.410156,4208.846191,4206.666504,4177.692383,4243.333496
4212.94873,4198.589844,4207.05127,4201.922852000001,4236.922852000001,4212.692383,4201.538574,4201.794922,4197.436035,4213.846191,4206.666504,4204.487305,4180.256348,4236.410156
4203.205078,4189.102539,4200.0,4193.717772999999,4228.205078,4199.487305,4198.461426,4203.077147999999,4200.641113000001,4213.717772999999,4203.205078,4201.153809,4152.436035,4232.179688
4199.230957,4188.589844,4197.436035,4195.897461,4228.717772999999,4193.846191,4196.282227000001,4191.025879,4197.563965,4202.692383,4198.077147999999,4197.179688,4145.128418,4229.743652
4201.666504,4199.615234000001,4202.436035,4204.358886999999,4234.487305,4200.769043,4197.692383,4192.179688,4199.871582,4204.615234000001,4196.538574,4199.487305,4157.05127,4227.692383
4207.05127,4202.436035,4210.128418,4204.487305,4236.282227000001,4206.153809,4200.256348,4204.871582,4206.794922,4213.333496,4198.846191,4208.461426,4159.230957,4232.692383
4214.743652,4198.461426,4216.282227000001,4204.487305,4235.512695,4203.333496,4201.410156,4203.333496,4207.307617,4216.282227000001,4204.487305,4215.384765999999,4162.436035,4242.692383
4218.461426,4202.692383,4219.102539,4210.897461,4234.487305,4195.384765999999,4201.025879,4199.743652,4204.743652,4217.179688,4209.230957,4218.205078,4170.897461,4248.589844
4213.589844,4201.794922,4215.128418,4208.846191,4229.102539,4195.128418,4200.769043,4203.717772999999,4204.743652,4213.717772999999,4204.102539,4218.333496,4181.282227000001,4244.743652
4203.717772999999,4190.128418,4207.05127,4194.102539,4222.563965,4198.974121,4202.179688,4202.692383,4201.282227000001,4205.897461,4192.179688,4213.205078,4185.641113000001,4233.461426
4197.94873,4184.871582,4199.871582,4182.563965,4220.512695,4197.436035,4201.794922,4199.743652,4197.563965,4205.0,4186.666504,4202.05127,4174.487305,4218.717772999999
4197.307617,4185.384765999999,4196.025879,4186.025879,4219.358886999999,4194.487305,4196.794922,4201.922852000001,4198.589844,4204.358886999999,4187.94873,4198.717772999999,4167.436035,4211.666504
4199.743652,4187.692383,4196.794922,4194.871582,4218.077147999999,4196.410156,4191.410156,4199.871582,4200.769043,4203.461426,4189.230957,4202.307617,4171.794922,4220.769043
4207.692383,4194.487305,4199.230957,4197.94873,4224.102539,4199.230957,4186.153809,4195.384765999999,4199.230957,4207.820313,4194.102539,4202.307617,4166.794922,4233.333496
4217.692383,4202.307617,4202.307617,4202.563965,4232.692383,4203.461426,4187.820313,4201.153809,4204.615234000001,4210.769043,4203.461426,4208.461426,4165.0,4236.410156
4222.820313,4206.025879,4211.410156,4211.153809,4233.333496,4208.589844,4195.0,4210.128418,4213.333496,4212.05127,4210.512695,4218.461426,4182.820313,4234.230957
4220.0,4203.717772999999,4214.871582,4208.461426,4229.102539,4202.05127,4190.769043,4203.077147999999,4204.358886999999,4206.410156,4208.974121,4211.538574,4184.615234000001,4226.666504
4214.743652,4201.025879,4207.563965,4196.794922,4228.974121,4190.769043,4185.769043,4195.897461,4193.846191,4197.94873,4201.794922,4199.487305,4159.230957,4218.846191
4211.282227000001,4200.769043,4203.974121,4193.077147999999,4228.077147999999,4188.333496,4191.666504,4202.94873,4198.077147999999,4193.205078,4199.743652,4199.230957,4158.717772999999,4215.769043
4204.230957,4194.871582,4201.410156,4190.384765999999,4223.077147999999,4188.846191,4195.512695,4197.820313,4194.102539,4189.358886999999,4208.077147999999,4200.128418,4186.666504,4210.384765999999
4202.05127,4191.025879,4195.641113000001,4182.692383,4216.794922,4189.102539,4195.384765999999,4190.641113000001,4186.922852000001,4190.256348,4216.410156,4198.589844,4185.128418,4206.922852000001
4207.820313,4193.974121,4196.794922,4182.179688,4213.461426,4197.179688,4202.179688,4204.871582,4202.563965,4202.820313,4219.871582,4201.410156,4165.256348,4214.487305
4207.820313,4191.666504,4199.358886999999,4185.0,4214.743652,4201.794922,4204.487305,4210.641113000001,4213.461426,4211.410156,4221.410156,4205.128418,4171.025879,4218.974121
4209.102539,4191.666504,4197.05127,4184.358886999999,4215.641113000001,4200.512695,4199.871582,4200.0,4198.205078,4203.077147999999,4222.307617,4211.538574,4174.230957,4214.487305
4211.538574,4196.922852000001,4197.05127,4187.05127,4215.769043,4201.410156,4200.769043,4199.743652,4193.205078,4196.153809,4222.563965,4215.128418,4166.153809,4215.128418
4206.922852000001,4191.666504,4196.666504,4185.256348,4213.077147999999,4195.384765999999,4198.589844,4204.358886999999,4200.769043,4189.871582,4219.102539,4208.205078,4179.230957,4222.692383
4206.282227000001,4182.563965,4196.153809,4180.512695,4203.846191,4191.922852000001,4197.563965,4206.025879,4198.846191,4183.589844,4216.153809,4204.358886999999,4189.615234000001,4225.384765999999
4212.436035,4183.461426,4200.256348,4181.794922,4202.179688,4204.615234000001,4202.563965,4212.820313,4197.05127,4185.256348,4217.05127,4208.589844,4179.102539,4220.512695
4213.589844,4185.641113000001,4201.666504,4186.410156,4210.641113000001,4210.384765999999,4202.05127,4210.256348,4196.922852000001,4184.487305,4218.205078,4209.615234000001,4179.743652,4221.025879
4206.538574,4183.974121,4197.436035,4185.641113000001,4213.717772999999,4208.077147999999,4198.077147999999,4192.436035,4185.897461,4175.769043,4212.179688,4202.820313,4186.538574,4222.820313
4202.436035,4182.05127,4196.282227000001,4184.871582,4212.692383,4211.922852000001,4198.974121,4187.94873,4182.436035,4173.461426,4207.692383,4199.230957,4189.615234000001,4216.666504
4204.487305,4182.307617,4200.897461,4190.256348,4212.692383,4205.128418,4201.794922,4200.769043,4199.358886999999,4186.025879,4215.384765999999,4209.230957,4191.922852000001,4222.05127
4208.717772999999,4187.436035,4202.692383,4192.94873,4210.256348,4188.846191,4202.179688,4204.871582,4205.384765999999,4193.205078,4221.538574,4215.256348,4184.871582,4231.282227000001
4205.512695,4187.94873,4196.922852000001,4190.0,4208.077147999999,4193.205078,4197.05127,4197.307617,4196.666504,4185.641113000001,4215.897461,4205.384765999999,4176.922852000001,4222.307617
4199.743652,4185.128418,4194.358886999999,4188.461426,4209.743652,4201.410156,4190.128418,4197.820313,4196.922852000001,4180.384765999999,4210.384765999999,4200.128418,4178.333496,4217.307617
