EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4295.512695,4361.282227000001,4243.846191,4262.307617,4216.666504,4180.384765999999,4191.282227000001,4203.717772999999,4191.282227000001,4210.512695,4255.641113000001,4258.333496,4281.538574,4277.05127
4280.512695,4348.461426,4233.205078,4259.743652,4215.641113000001,4189.871582,4183.461426,4197.179688,4171.025879,4180.641113000001,4228.077147999999,4236.410156,4254.871582,4259.871582
4276.538574,4337.436035,4230.128418,4252.436035,4211.922852000001,4199.102539,4185.641113000001,4183.205078,4161.922852000001,4169.230957,4215.512695,4227.820313,4250.641113000001,4254.358886999999
4284.487305,4365.0,4242.05127,4259.871582,4218.717772999999,4198.461426,4198.846191,4194.102539,4182.563965,4194.230957,4234.102539,4245.128418,4268.846191,4265.256348
4274.358886999999,4366.410156,4239.615234000001,4257.307617,4222.692383,4196.025879,4191.538574,4207.563965,4189.230957,4199.871582,4228.717772999999,4242.563965,4251.410156,4256.538574
4258.461426,4327.820313,4225.128418,4243.974121,4210.512695,4188.205078,4175.128418,4200.769043,4172.436035,4173.077147999999,4199.871582,4222.307617,4210.512695,4235.769043
4257.179688,4318.846191,4224.615234000001,4242.820313,4204.230957,4182.563965,4176.153809,4189.743652,4166.538574,4164.615234000001,4192.94873,4218.846191,4198.077147999999,4230.128418
4255.769043,4333.461426,4227.692383,4244.743652,4215.769043,4185.128418,4185.256348,4187.820313,4171.794922,4174.102539,4195.128418,4222.307617,4201.282227000001,4230.512695
4247.05127,4324.102539,4220.256348,4238.205078,4217.94873,4188.077147999999,4191.025879,4199.102539,4176.922852000001,4175.641113000001,4189.358886999999,4219.230957,4193.717772999999,4225.641113000001
4245.384765999999,4304.487305,4219.487305,4236.282227000001,4212.05127,4192.307617,4199.230957,4215.0,4185.512695,4179.230957,4192.05127,4221.922852000001,4187.179688,4221.410156
4246.922852000001,4298.461426,4222.307617,4236.922852000001,4212.563965,4197.692383,4199.871582,4207.179688,4186.538574,4182.692383,4195.384765999999,4221.538574,4184.358886999999,4217.563965
4240.256348,4293.461426,4216.153809,4226.282227000001,4212.820313,4197.179688,4194.358886999999,4196.410156,4182.307617,4176.666504,4189.102539,4213.333496,4182.436035,4212.563965
4238.205078,4285.128418,4214.102539,4220.512695,4214.743652,4196.538574,4198.461426,4206.922852000001,4185.769043,4174.487305,4190.0,4213.589844,4183.077147999999,4212.820313
4239.358886999999,4277.820313,4217.05127,4224.615234000001,4216.538574,4199.487305,4202.436035,4213.461426,4187.307617,4181.282227000001,4185.0,4216.666504,4177.436035,4213.077147999999
4228.717772999999,4269.615234000001,4212.179688,4223.077147999999,4213.717772999999,4197.436035,4200.256348,4203.846191,4184.487305,4180.256348,4169.487305,4207.436035,4165.641113000001,4206.410156
4224.358886999999,4262.563965,4208.589844,4214.102539,4210.512695,4198.461426,4197.563965,4197.692383,4184.487305,4172.179688,4170.769043,4201.153809,4164.871582,4205.641113000001
4234.871582,4265.256348,4217.436035,4215.128418,4215.769043,4210.897461,4202.692383,4203.461426,4187.692383,4176.794922,4188.077147999999,4209.230957,4179.358886999999,4212.307617
4233.974121,4264.230957,4217.179688,4217.307617,4216.410156,4215.512695,4206.922852000001,4200.897461,4186.410156,4185.0,4191.025879,4207.436035,4182.307617,4207.05127
4217.436035,4250.512695,4200.641113000001,4203.974121,4205.641113000001,4201.922852000001,4199.871582,4189.743652,4178.589844,4172.179688,4173.205078,4187.563965,4161.410156,4192.692383
4217.307617,4247.307617,4198.333496,4200.384765999999,4206.025879,4194.230957,4203.205078,4195.128418,4179.102539,4164.102539,4166.538574,4185.641113000001,4154.102539,4195.0
4230.0,4253.717772999999,4208.974121,4212.692383,4212.307617,4201.794922,4215.384765999999,4213.461426,4190.641113000001,4174.871582,4182.05127,4203.205078,4170.128418,4205.769043
4226.153809,4247.436035,4205.384765999999,4214.615234000001,4204.615234000001,4204.743652,4208.461426,4214.358886999999,4188.077147999999,4174.358886999999,4186.666504,4201.282227000001,4173.846191,4202.94873
4220.384765999999,4241.794922,4198.333496,4209.743652,4195.256348,4192.307617,4191.538574,4197.436035,4171.025879,4165.512695,4174.102539,4187.692383,4165.128418,4199.743652
4227.94873,4246.538574,4206.153809,4214.230957,4203.205078,4191.025879,4196.538574,4195.128418,4174.487305,4169.871582,4173.077147999999,4190.384765999999,4170.128418,4205.769043
4226.025879,4241.666504,4205.128418,4219.743652,4213.333496,4212.05127,4202.05127,4201.025879,4187.563965,4172.820313,4178.974121,4191.666504,4173.461426,4202.820313
4212.820313,4225.256348,4191.410156,4216.282227000001,4209.743652,4221.282227000001,4190.128418,4198.589844,4186.282227000001,4165.897461,4170.384765999999,4179.615234000001,4161.410156,4191.794922
4210.641113000001,4219.102539,4189.102539,4217.179688,4201.794922,4204.102539,4189.743652,4204.102539,4188.077147999999,4166.794922,4165.256348,4176.922852000001,4154.102539,4188.333496
4214.615234000001,4220.384765999999,4195.384765999999,4223.717772999999,4197.307617,4195.512695,4200.512695,4217.307617,4196.922852000001,4175.256348,4168.333496,4181.922852000001,4157.307617,4191.794922
4212.94873,4220.128418,4195.256348,4228.846191,4201.538574,4204.743652,4201.538574,4216.794922,4194.487305,4173.205078,4164.743652,4175.769043,4155.641113000001,4194.358886999999
4209.743652,4218.333496,4191.922852000001,4230.512695,4207.94873,4198.461426,4191.153809,4196.282227000001,4178.205078,4164.615234000001,4161.538574,4170.641113000001,4153.974121,4192.179688
