EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4242.179688,4228.974121,4220.128418,4228.717772999999,4214.487305,4183.461426,4235.0,4203.333496,4207.05127,4197.436035,4216.410156,4254.487305,4231.922852000001,4223.333496
4237.94873,4222.307617,4217.692383,4230.128418,4218.205078,4192.179688,4220.512695,4202.692383,4203.717772999999,4201.410156,4209.487305,4247.05127,4233.077147999999,4219.230957
4229.358886999999,4214.871582,4216.025879,4221.410156,4215.769043,4189.615234000001,4219.487305,4222.179688,4208.205078,4199.358886999999,4201.666504,4240.641113000001,4219.487305,4212.563965
4232.436035,4218.333496,4217.692383,4215.641113000001,4215.0,4174.871582,4225.641113000001,4222.563965,4207.820313,4197.307617,4202.692383,4242.05127,4215.128418,4215.641113000001
4238.077147999999,4218.333496,4213.974121,4219.743652,4216.025879,4171.922852000001,4209.871582,4201.666504,4203.077147999999,4201.666504,4203.589844,4242.05127,4222.307617,4216.666504
4224.615234000001,4205.384765999999,4203.205078,4216.794922,4208.589844,4181.153809,4200.512695,4198.589844,4201.410156,4195.641113000001,4198.461426,4236.794922,4218.846191,4209.102539
4214.358886999999,4202.563965,4201.410156,4210.512695,4202.307617,4183.461426,4207.179688,4209.358886999999,4200.0,4185.256348,4199.615234000001,4233.205078,4213.205078,4206.538574
4224.871582,4216.282227000001,4209.871582,4214.615234000001,4206.153809,4181.666504,4198.589844,4201.153809,4200.897461,4192.94873,4205.128418,4235.641113000001,4220.769043,4211.538574
4232.179688,4221.538574,4211.025879,4215.512695,4204.743652,4182.94873,4193.333496,4198.717772999999,4204.358886999999,4203.205078,4203.974121,4234.102539,4227.05127,4213.589844
4220.897461,4213.846191,4205.897461,4205.128418,4200.0,4177.179688,4198.205078,4212.05127,4199.230957,4196.025879,4200.256348,4229.615234000001,4221.922852000001,4210.769043
4213.974121,4212.179688,4204.487305,4200.641113000001,4204.743652,4170.128418,4189.230957,4193.077147999999,4187.307617,4185.512695,4199.743652,4230.641113000001,4216.538574,4209.487305
4216.666504,4211.153809,4204.743652,4203.333496,4205.256348,4174.102539,4188.846191,4167.179688,4179.743652,4184.230957,4195.641113000001,4231.153809,4216.666504,4207.307617
4212.94873,4205.897461,4203.077147999999,4202.05127,4201.410156,4173.589844,4202.820313,4196.153809,4185.256348,4186.538574,4188.717772999999,4225.897461,4217.563965,4201.153809
4211.922852000001,4210.641113000001,4203.461426,4206.153809,4211.153809,4167.94873,4193.974121,4209.871582,4195.384765999999,4191.666504,4190.769043,4223.205078,4217.692383,4202.436035
4218.717772999999,4220.0,4206.282227000001,4216.794922,4220.0,4178.461426,4184.358886999999,4173.333496,4197.179688,4197.179688,4198.333496,4224.871582,4216.794922,4207.436035
4225.384765999999,4221.025879,4211.282227000001,4220.0,4220.512695,4194.102539,4213.205078,4187.436035,4200.641113000001,4202.307617,4202.820313,4230.512695,4221.410156,4210.769043
4232.179688,4219.230957,4215.384765999999,4218.461426,4221.794922,4191.666504,4231.666504,4229.871582,4207.563965,4206.282227000001,4205.512695,4241.282227000001,4228.461426,4214.871582
4235.641113000001,4217.820313,4214.743652,4221.153809,4221.410156,4185.256348,4220.256348,4212.692383,4204.871582,4205.769043,4205.641113000001,4241.538574,4226.538574,4217.94873
4231.666504,4209.102539,4213.846191,4219.358886999999,4214.743652,4189.487305,4212.179688,4193.205078,4197.05127,4199.230957,4200.512695,4232.179688,4221.538574,4215.256348
4234.358886999999,4209.871582,4213.974121,4218.077147999999,4215.128418,4191.410156,4204.102539,4203.077147999999,4199.230957,4200.0,4201.282227000001,4232.94873,4228.717772999999,4216.794922
4244.743652,4221.794922,4215.0,4226.025879,4220.769043,4183.333496,4196.666504,4200.256348,4205.512695,4205.769043,4205.897461,4239.743652,4237.820313,4223.077147999999
4242.94873,4216.666504,4214.871582,4224.871582,4215.0,4174.743652,4200.641113000001,4199.487305,4201.282227000001,4201.666504,4201.922852000001,4238.461426,4231.282227000001,4220.641113000001
4233.333496,4201.153809,4210.0,4209.743652,4205.0,4171.282227000001,4197.563965,4205.256348,4195.512695,4197.05127,4200.0,4230.128418,4220.256348,4211.410156
4226.025879,4197.94873,4205.256348,4199.102539,4198.717772999999,4169.487305,4198.846191,4197.307617,4193.974121,4195.128418,4197.94873,4221.794922,4215.769043,4206.410156
4221.410156,4200.769043,4203.333496,4200.641113000001,4201.538574,4173.077147999999,4211.794922,4202.307617,4197.692383,4188.333496,4188.461426,4216.410156,4215.0,4206.538574
4225.769043,4205.769043,4203.589844,4209.358886999999,4212.94873,4182.692383,4206.410156,4209.358886999999,4197.436035,4186.025879,4185.512695,4217.692383,4215.897461,4206.666504
4230.769043,4210.897461,4204.871582,4215.384765999999,4218.077147999999,4189.615234000001,4195.128418,4185.0,4186.410156,4192.563965,4189.358886999999,4220.641113000001,4216.282227000001,4206.538574
4226.025879,4207.179688,4204.871582,4215.384765999999,4214.230957,4187.179688,4201.282227000001,4180.256348,4185.128418,4199.230957,4187.94873,4218.589844,4218.461426,4207.179688
4220.641113000001,4206.025879,4205.769043,4214.102539,4212.436035,4182.179688,4206.666504,4213.589844,4199.743652,4198.846191,4187.05127,4219.358886999999,4218.077147999999,4207.05127
4218.205078,4208.974121,4204.615234000001,4212.05127,4216.666504,4192.563965,4210.641113000001,4216.922852000001,4202.05127,4192.692383,4185.512695,4222.436035,4212.05127,4202.820313
4220.641113000001,4210.0,4202.179688,4208.205078,4218.974121,4203.717772999999,4218.846191,4190.128418,4194.871582,4193.846191,4182.05127,4224.871582,4209.743652,4200.384765999999
4227.820313,4214.102539,4210.641113000001,4214.230957,4216.410156,4191.666504,4215.769043,4201.025879,4209.102539,4210.128418,4190.897461,4229.358886999999,4215.384765999999,4208.461426
4226.025879,4215.384765999999,4215.512695,4218.846191,4214.102539,4179.230957,4215.128418,4232.307617,4221.666504,4219.615234000001,4201.666504,4228.974121,4221.410156,4212.436035
4220.256348,4208.589844,4205.897461,4207.436035,4215.512695,4185.769043,4213.589844,4218.205078,4210.384765999999,4211.538574,4197.563965,4221.025879,4222.820313,4207.436035
4221.282227000001,4203.333496,4199.743652,4199.871582,4215.384765999999,4189.615234000001,4202.05127,4191.538574,4201.153809,4206.025879,4190.769043,4215.384765999999,4221.666504,4201.794922
4215.384765999999,4202.307617,4200.256348,4203.717772999999,4212.94873,4185.641113000001,4210.128418,4204.743652,4200.384765999999,4203.974121,4187.692383,4215.641113000001,4216.666504,4200.0
4209.358886999999,4206.538574,4198.589844,4204.487305,4215.512695,4183.333496,4218.717772999999,4226.666504,4205.0,4201.538574,4186.666504,4220.769043,4215.256348,4203.717772999999
4221.025879,4215.128418,4200.0,4204.102539,4218.974121,4188.974121,4207.94873,4219.358886999999,4214.230957,4211.282227000001,4195.256348,4225.256348,4222.05127,4209.358886999999
4226.410156,4215.128418,4203.205078,4206.025879,4218.717772999999,4197.179688,4210.384765999999,4196.153809,4210.128418,4214.487305,4199.230957,4220.641113000001,4222.179688,4207.436035
4218.333496,4212.563965,4202.05127,4205.512695,4216.794922,4192.820313,4218.974121,4185.128418,4198.717772999999,4204.487305,4189.358886999999,4215.384765999999,4216.282227000001,4203.205078
4214.487305,4210.0,4198.846191,4201.794922,4216.153809,4189.230957,4204.743652,4195.641113000001,4202.820313,4203.717772999999,4184.615234000001,4215.256348,4214.230957,4201.025879
4208.589844,4203.077147999999,4197.820313,4196.794922,4217.692383,4198.717772999999,4198.717772999999,4219.102539,4210.897461,4208.846191,4185.0,4211.538574,4213.846191,4194.615234000001
4201.794922,4207.94873,4199.487305,4199.615234000001,4217.436035,4198.589844,4216.922852000001,4222.179688,4212.307617,4210.769043,4182.563965,4209.358886999999,4214.615234000001,4192.563965
4209.743652,4220.384765999999,4206.153809,4208.846191,4218.974121,4185.128418,4218.589844,4210.256348,4215.256348,4216.153809,4190.0,4217.820313,4221.153809,4203.974121
4220.512695,4219.487305,4211.794922,4208.717772999999,4224.358886999999,4187.05127,4206.538574,4219.487305,4217.692383,4219.487305,4202.436035,4226.025879,4228.846191,4212.820313
4220.256348,4215.512695,4211.410156,4207.692383,4224.487305,4201.410156,4203.974121,4216.538574,4216.025879,4221.922852000001,4201.922852000001,4224.102539,4228.205078,4208.717772999999
4223.333496,4221.153809,4209.743652,4212.94873,4218.205078,4201.794922,4216.025879,4194.358886999999,4215.769043,4228.589844,4199.487305,4222.563965,4228.846191,4207.307617
4223.461426,4217.692383,4206.153809,4211.025879,4216.794922,4191.025879,4228.461426,4205.897461,4217.307617,4224.230957,4203.589844,4221.025879,4230.0,4208.333496
4212.820313,4211.025879,4202.820313,4201.538574,4222.307617,4189.230957,4218.333496,4223.846191,4215.641113000001,4213.589844,4201.794922,4213.461426,4223.589844,4203.205078
